episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,congestion_ratio,scenario_id,algorithm,num_obstacles,num_exits,num_agents,trajectory
1,agent_0,5.870160048177554,0,150,15.304056,1.1313708498984762,0.07392620868012087,0,41,0.2733333333333333,1,ppo,0,0,2,"[[0.0, 0.0], [-0.0, 0.30000001192092896], [-0.0, 0.5249999761581421], [0.30000001192092896, 0.39375001192092896], [0.22499999403953552, 0.5953124761581421], [0.16875000298023224, 0.44648438692092896], [0.42656248807907104, 0.3348632752895355], [0.3199218809604645, 0.5511474609375], [0.23994140326976776, 0.413360595703125], [0.17995604872703552, 0.6100204586982727], [0.13496704399585724, 0.45751532912254333], [0.4012252688407898, 0.3431364893913269], [0.30091896653175354, 0.5573523640632629], [0.22568921744823456, 0.4180142879486084], [0.4692669212818146, 0.3135107159614563], [0.35195019841194153, 0.5351330041885376], [0.26396262645721436, 0.4013497829437256], [0.19797198474407196, 0.6010123491287231], [0.14847898483276367, 0.45075926184654236], [0.11135923862457275, 0.6380694508552551], [0.08351942896842957, 0.47855207324028015], [0.36263957619667053, 0.3589140474796295], [0.2719796895980835, 0.26918554306030273], [0.20398475229740143, 0.501889169216156], [0.15298856794834137, 0.3764168620109558], [0.11474142968654633, 0.5823126435279846], [0.08605606853961945, 0.43673449754714966], [0.06454205513000488, 0.6275508403778076], [0.04840654134750366, 0.4706631600856781], [0.03630490601062775, 0.6529973745346069], [0.02722867764532566, 0.4897480309009552], [0.020421508699655533, 0.367311030626297], [0.01531613152474165, 0.5754832625389099], [0.011487098410725594, 0.43161243200302124], [0.008615324273705482, 0.6237093210220337], [0.006461493205279112, 0.46778199076652527], [0.004846119787544012, 0.35083651542663574], [0.0036345897242426872, 0.5631273984909058], [0.0027259422931820154, 0.42234551906585693], [0.0020444567780941725, 0.3167591392993927], [0.0015333426417782903, 0.5375693440437317], [0.0011500068940222263, 0.40317702293395996], [0.0008625052287243307, 0.30238276720046997], [0.0006468789069913328, 0.5267871022224426], [0.00048515916569158435, 0.3950903117656708], [0.0003638693888206035, 0.2963177263736725], [0.3002729117870331, 0.22223830223083496], [0.2252046763896942, 0.16667872667312622], [0.16890351474285126, 0.4250090420246124], [0.12667763233184814, 0.3187567889690399], [0.09500822424888611, 0.23906758427619934], [0.07125616818666458, 0.1793006956577301], [0.05344212427735329, 0.43447551131248474], [0.04008159413933754, 0.32585662603378296], [0.03006119467318058, 0.2443924844264984], [0.022545896470546722, 0.48329436779022217], [0.016909422352910042, 0.3624707758426666], [0.012682067230343819, 0.27185308933258057], [0.009511549957096577, 0.20388980209827423], [0.007133662700653076, 0.4529173672199249], [0.005350247025489807, 0.3396880030632019], [0.0035500237718224525, 0.23358264565467834], [-0.003122404683381319, -0.08968096971511841], [-0.0038848314434289932, 0.12638121843338013], [-0.002913623582571745, 0.39478591084480286], [-0.002185217570513487, 0.29608944058418274], [-0.001638913294300437, 0.22206707298755646], [-0.0012291849125176668, 0.16655030846595764], [-0.0009218886843882501, 0.4249127209186554], [-0.0006914164987392724, 0.31868454813957214], [-0.0005185623886063695, 0.2390134185552597], [-0.0003889217914547771, 0.17926006019115448], [-0.0002916913363151252, 0.13444504141807556], [-0.00021877152903471142, 0.10083372890949249], [-0.0001647105091251433, 0.07562349736690521], [-0.00012357012019492686, 0.056717563420534134], [0.2999073266983032, 0.04253816977143288], [0.22493049502372742, 0.03190362825989723], [0.1686924248933792, 0.023921042680740356], [0.10555952042341232, -0.014383170753717422], [0.028303809463977814, 0.19072264432907104], [-0.01162694301456213, 0.06694266945123672], [-0.0622086301445961, -0.04614249989390373], [-0.046762898564338684, 0.26522207260131836], [-0.03507217392325401, 0.19891655445098877], [-0.026304131373763084, 0.14918741583824158], [-0.019728098064661026, 0.11189056187868118], [-0.01479607354849577, 0.08391792327165604], [-0.011097054928541183, 0.06293844431638718], [-0.008322791196405888, 0.04720383137464523], [-0.006242093630135059, 0.035402871668338776], [-0.004681569989770651, 0.02655215561389923], [-0.00351117760874331, 0.019914116710424423], [-0.0026333832647651434, 0.3149355947971344], [-0.0019750373903661966, 0.2362016886472702], [-0.0014812781009823084, 0.17715126276016235], [-0.0011109585175290704, 0.13286344707012177], [-0.0008332189172506332, 0.09964758902788162], [-0.0006249141879379749, 0.07473569363355637], [-0.0004686856409534812, 0.056051768362522125], [-0.0003515142307151109, 0.042038824409246445], [-0.0002636356803122908, 0.03152912110090256], [-0.00019772675295826048, 0.02364683896303177], [-0.00014829506108071655, 0.017735129222273827], [-0.00011122129944851622, 0.013301347382366657], [-8.341597276739776e-05, 0.009976010769605637], [-6.256197957554832e-05, 0.0074820080772042274], [-4.6921486500650644e-05, 0.005611505825072527], [-3.519111487548798e-05, 0.004208629485219717], [-2.6393334337626584e-05, 0.003156471997499466], [-1.979500120796729e-05, 0.30236735939979553], [-1.4846251360722817e-05, 0.22677551209926605], [-1.1134688065794762e-05, 0.17008163034915924], [-8.351015821972396e-06, 0.12756122648715973], [-6.263262093852973e-06, 0.0956709235906601], [-4.697446456702892e-06, 0.07175318896770477], [-3.5230850699008442e-06, 0.05381489172577858], [-2.642313802425633e-06, 0.04036116972565651], [-1.981735294975806e-06, 0.030270876362919807], [-1.4863014712318545e-06, 0.022703157737851143], [-1.1147261602673098e-06, 0.017027368769049644], [-8.360445917787729e-07, 0.012770526111125946], [-6.270334438340797e-07, 0.00957789458334446], [-4.7027506866470503e-07, 0.007183420937508345], [-3.5270630860395613e-07, 0.005387565586715937], [-2.645297172421124e-07, 0.004040674306452274], [-1.98397302142439e-07, 0.0030305057298392057], [-1.4879796594868822e-07, 0.0022728792391717434], [-1.1159848156694352e-07, 0.0017046595457941294], [-8.369885762249396e-08, 0.0012784946011379361], [-6.277414144051363e-08, 0.0009588709799572825], [-4.708060785674206e-08, 0.0007191532058641315], [-3.531045678073497e-08, 0.000539364933501929], [-2.6482842585551225e-08, 0.00040452368557453156], [-1.986213149507421e-08, 0.00030339276418089867], [-1.4896598621305657e-08, 0.000227544573135674], [-1.1172448743934638e-08, 0.0001706584298517555], [-8.379337224084793e-09, 0.00012799382966477424], [-6.28450269601899e-09, 9.599536861060187e-05], [-4.7133767999696374e-09, 7.1996524638962e-05], [-3.5350327109995305e-09, 5.3997395298210904e-05], [-2.651274533249648e-09, 4.0498045564163476e-05], [-1.9884558444260847e-09, 3.0373534173122607e-05], [-1.4913419388307148e-09, 2.2780150175094604e-05], [-1.1185063986118848e-09, 1.7085112631320953e-05], [-8.388798544700649e-10, 1.2813834473490715e-05], [-6.291598908525486e-10, 9.610375855118036e-06], [-4.718699320171993e-10, 7.207781891338527e-06], [-3.5390243513511166e-10, 5.405836418503895e-06], [-2.6542681941243984e-10, 4.0543773138779216e-06]]"
1,agent_1,5.048324542286246,0,150,12.339337,1.1313708498984762,0.09168813672120328,0,42,0.28,1,ppo,0,0,2,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [0.0, 0.6937500238418579], [0.30000001192092896, 0.520312488079071], [0.22499999403953552, 0.690234363079071], [0.16875000298023224, 0.5176757574081421], [0.12656250596046448, 0.6882568597793579], [0.09492187201976776, 0.516192615032196], [0.07119140774011612, 0.6871444582939148], [0.05339355394244194, 0.5153583288192749], [0.04004516452550888, 0.6865187883377075], [0.03003387525677681, 0.5148890614509583], [0.022525405511260033, 0.6861668229103088], [0.016894053667783737, 0.5146251320838928], [0.012670541182160378, 0.685968816280365], [0.009502905420958996, 0.5144765973091125], [0.0071271792985498905, 0.6858574748039246], [0.00534538459032774, 0.5143930912017822], [0.004009038209915161, 0.6857948303222656], [0.003006778657436371, 0.5143461227416992], [0.002255083993077278, 0.6857596039772034], [0.0016913129948079586, 0.5143197178840637], [0.001268484746105969, 0.3857397735118866], [0.0009513635886833072, 0.5893048048019409], [0.0007135226624086499, 0.4419786334037781], [0.0005351420259103179, 0.33148396015167236], [0.0004013565194327384, 0.5486129522323608], [0.00030101739685051143, 0.411459743976593], [0.00022576304036192596, 0.6085947751998901], [0.00016932227299548686, 0.45644611120224], [0.00012699171202257276, 0.3423345685005188], [9.524378401692957e-05, 0.5567509531974792], [7.143283437471837e-05, 0.41756319999694824], [5.3574625781038776e-05, 0.3131723999977112], [4.0180970245273784e-05, 0.5348793268203735], [3.013572859345004e-05, 0.40115946531295776], [2.260179644508753e-05, 0.3008696138858795], [1.6951345969573595e-05, 0.5256522297859192], [1.2713509931927547e-05, 0.3942391574382782], [9.53513244894566e-06, 0.29567936062812805], [7.1513495640829206e-06, 0.22175952792167664], [5.36351217306219e-06, 0.46631965041160583], [4.022634129796643e-06, 0.3497397303581238], [3.016975597347482e-06, 0.26230481266975403], [2.2627316411671927e-06, 0.4967285990715027], [1.6970487877188134e-06, 0.3725464642047882], [1.2727865623674006e-06, 0.27940982580184937], [9.5458995019726e-07, 0.20955738425254822], [7.159424626479449e-07, 0.15716803073883057], [5.369568043533945e-07, 0.4178760349750519], [4.0271763168675534e-07, 0.3134070038795471], [3.0203821665963915e-07, 0.23505526781082153], [2.2652866960015672e-07, 0.17629145085811615], [1.6989649509469018e-07, 0.13221858441829681], [1.2742236776830396e-07, 0.3991639316082001], [9.556678293165533e-08, 0.29937294125556946], [7.167508186967098e-08, 0.2245297133922577], [5.375631317861007e-08, 0.16839729249477386], [4.031723577213597e-08, 0.1262979656457901], [3.02379277172804e-08, 0.09472347050905228], [0.00046268405276350677, 0.392225980758667], [0.006131935399025679, 0.559037446975708], [0.006141979712992907, 0.5256361365318298], [0.004606484901160002, 0.3942270874977112], [0.0034548635594546795, 0.2956703305244446], [0.002591147553175688, 0.22175273299217224], [0.0019433607812970877, 0.16631455719470978], [0.0014575205277651548, 0.12473591417074203], [0.001093140454031527, 0.09355193376541138], [0.0008198553114198148, 0.07016395032405853], [0.0006148914690129459, 0.0526229664683342], [0.30046117305755615, 0.0394672229886055], [0.22534587979316711, 0.02960047498345375], [0.16901004314422607, 0.022202152758836746], [0.12675756216049194, 0.01665167510509491], [0.09506817907094955, 0.012488757260143757], [0.07130113244056702, 0.009366567246615887], [0.05348129943013191, 0.007031605578958988], [0.061070766299963, 0.03759765625], [0.09666890650987625, 0.12668821215629578], [0.10535647720098495, 0.1711154729127884], [0.13250577449798584, 0.22468611598014832], [0.09948576241731644, 0.16868562996387482], [0.07461432367563248, 0.1265142261981964], [0.05596074089407921, 0.09488566964864731], [0.04197055473923683, 0.07116425037384033], [0.0314779169857502, 0.05337318778038025], [0.023608438670635223, 0.04002989083528519], [0.017706329002976418, 0.03002241812646389], [0.013279746286571026, 0.3225167989730835], [0.009959809482097626, 0.24188761413097382], [0.007469857577234507, 0.18141570687294006], [0.0056023928336799145, 0.13606178760528564], [0.004201794974505901, 0.10204633325338364], [0.0031513459980487823, 0.07653474807739258], [0.0023635094985365868, 0.05740106478333473], [0.00177263212390244, 0.043050799518823624], [0.001329474151134491, 0.032288096845149994], [0.0009971056133508682, 0.024216074496507645], [0.0007478292100131512, 0.01816205494105816], [0.0005608719075098634, 0.013621541671454906], [0.00042065393063239753, 0.31021615862846375], [0.00031549044069834054, 0.2326621115207672], [0.00023661783779971302, 0.174496591091156], [0.00017746337107382715, 0.130872443318367], [0.00013309753558132797, 0.09815432876348495], [9.982314804801717e-05, 0.07361574470996857], [7.486736285500228e-05, 0.055211812257766724], [5.615052214125171e-05, 0.04140885919332504], [4.211288978694938e-05, 0.031056644394993782], [3.1584666430717334e-05, 0.023292481899261475], [2.3688500732532702e-05, 0.017469361424446106], [1.7766375094652176e-05, 0.013102021999657154], [1.3324781320989132e-05, 0.009826515801250935], [9.993585990741849e-06, 0.007369887083768845], [7.495189493056387e-06, 0.0055274153128266335], [5.62139211979229e-06, 0.004145561717450619], [4.2160440898442175e-06, 0.0031091710552573204], [3.162033181070001e-06, 0.0023318782914429903], [2.3715249426459195e-06, 0.0017489087767899036], [1.7786436501410208e-06, 0.0013116815825924277], [1.3339827091840561e-06, 0.0009837611578404903], [1.0004870318880421e-06, 0.0007378208683803678], [7.50365302337741e-07, 0.0005533656803891063], [5.627739483315963e-07, 0.0004150242602918297], [4.220804896704067e-07, 0.00031126817339099944], [3.1656034593652294e-07, 0.0002334511373192072], [2.3742026655781956e-07, 0.0001750883529894054], [1.7806520702379203e-07, 0.00013131626474205405], [1.3354889460970298e-07, 9.848720219451934e-05], [1.001616780627046e-07, 7.38653980079107e-05], [7.512125677067161e-08, 5.539905032492243e-05], [5.6340940801646866e-08, 4.154928683419712e-05], [4.225570648941357e-08, 3.116196603514254e-05], [3.169177986706018e-08, 2.3371474526356906e-05], [2.3768835788473552e-08, 1.752860589476768e-05], [1.7826625509087535e-08, 1.3146453966328409e-05], [1.336997001999407e-08, 9.859840247372631e-06], [1.0027477514995553e-08, 7.394880412903149e-06], [7.520608136246665e-09, 5.546160537051037e-06], [5.640456102184999e-09, 4.159620402788278e-06], [4.230341854594144e-09, 3.1197153020912083e-06], [3.1727565019679105e-09, 2.3397863060381496e-06], [2.379567431987084e-09, 1.754839786372031e-06], [1.7846755184791618e-09, 1.3161298966224422e-06], [1.3385066388593714e-09, 9.870973372017033e-07], [1.0038799791445285e-09, 7.403230597446964e-07], [7.52910012113972e-10, 5.552422521759581e-07], [5.646824674521156e-10, 4.164317033428233e-07]]"
2,agent_0,5.870160048177554,0,150,15.304056,1.1313708498984762,0.07392620868012087,0,41,0.2733333333333333,1,ppo,0,0,2,"[[0.0, 0.0], [-0.0, 0.30000001192092896], [-0.0, 0.5249999761581421], [0.30000001192092896, 0.39375001192092896], [0.22499999403953552, 0.5953124761581421], [0.16875000298023224, 0.44648438692092896], [0.42656248807907104, 0.3348632752895355], [0.3199218809604645, 0.5511474609375], [0.23994140326976776, 0.413360595703125], [0.17995604872703552, 0.6100204586982727], [0.13496704399585724, 0.45751532912254333], [0.4012252688407898, 0.3431364893913269], [0.30091896653175354, 0.5573523640632629], [0.22568921744823456, 0.4180142879486084], [0.4692669212818146, 0.3135107159614563], [0.35195019841194153, 0.5351330041885376], [0.26396262645721436, 0.4013497829437256], [0.19797198474407196, 0.6010123491287231], [0.14847898483276367, 0.45075926184654236], [0.11135923862457275, 0.6380694508552551], [0.08351942896842957, 0.47855207324028015], [0.36263957619667053, 0.3589140474796295], [0.2719796895980835, 0.26918554306030273], [0.20398475229740143, 0.501889169216156], [0.15298856794834137, 0.3764168620109558], [0.11474142968654633, 0.5823126435279846], [0.08605606853961945, 0.43673449754714966], [0.06454205513000488, 0.6275508403778076], [0.04840654134750366, 0.4706631600856781], [0.03630490601062775, 0.6529973745346069], [0.02722867764532566, 0.4897480309009552], [0.020421508699655533, 0.367311030626297], [0.01531613152474165, 0.5754832625389099], [0.011487098410725594, 0.43161243200302124], [0.008615324273705482, 0.6237093210220337], [0.006461493205279112, 0.46778199076652527], [0.004846119787544012, 0.35083651542663574], [0.0036345897242426872, 0.5631273984909058], [0.0027259422931820154, 0.42234551906585693], [0.0020444567780941725, 0.3167591392993927], [0.0015333426417782903, 0.5375693440437317], [0.0011500068940222263, 0.40317702293395996], [0.0008625052287243307, 0.30238276720046997], [0.0006468789069913328, 0.5267871022224426], [0.00048515916569158435, 0.3950903117656708], [0.0003638693888206035, 0.2963177263736725], [0.3002729117870331, 0.22223830223083496], [0.2252046763896942, 0.16667872667312622], [0.16890351474285126, 0.4250090420246124], [0.12667763233184814, 0.3187567889690399], [0.09500822424888611, 0.23906758427619934], [0.07125616818666458, 0.1793006956577301], [0.05344212427735329, 0.43447551131248474], [0.04008159413933754, 0.32585662603378296], [0.03006119467318058, 0.2443924844264984], [0.022545896470546722, 0.48329436779022217], [0.016909422352910042, 0.3624707758426666], [0.012682067230343819, 0.27185308933258057], [0.009511549957096577, 0.20388980209827423], [0.007133662700653076, 0.4529173672199249], [0.005350247025489807, 0.3396880030632019], [0.0035500237718224525, 0.23358264565467834], [-0.003122404683381319, -0.08968096971511841], [-0.0038848314434289932, 0.12638121843338013], [-0.002913623582571745, 0.39478591084480286], [-0.002185217570513487, 0.29608944058418274], [-0.001638913294300437, 0.22206707298755646], [-0.0012291849125176668, 0.16655030846595764], [-0.0009218886843882501, 0.4249127209186554], [-0.0006914164987392724, 0.31868454813957214], [-0.0005185623886063695, 0.2390134185552597], [-0.0003889217914547771, 0.17926006019115448], [-0.0002916913363151252, 0.13444504141807556], [-0.00021877152903471142, 0.10083372890949249], [-0.0001647105091251433, 0.07562349736690521], [-0.00012357012019492686, 0.056717563420534134], [0.2999073266983032, 0.04253816977143288], [0.22493049502372742, 0.03190362825989723], [0.1686924248933792, 0.023921042680740356], [0.10555952042341232, -0.014383170753717422], [0.028303809463977814, 0.19072264432907104], [-0.01162694301456213, 0.06694266945123672], [-0.0622086301445961, -0.04614249989390373], [-0.046762898564338684, 0.26522207260131836], [-0.03507217392325401, 0.19891655445098877], [-0.026304131373763084, 0.14918741583824158], [-0.019728098064661026, 0.11189056187868118], [-0.01479607354849577, 0.08391792327165604], [-0.011097054928541183, 0.06293844431638718], [-0.008322791196405888, 0.04720383137464523], [-0.006242093630135059, 0.035402871668338776], [-0.004681569989770651, 0.02655215561389923], [-0.00351117760874331, 0.019914116710424423], [-0.0026333832647651434, 0.3149355947971344], [-0.0019750373903661966, 0.2362016886472702], [-0.0014812781009823084, 0.17715126276016235], [-0.0011109585175290704, 0.13286344707012177], [-0.0008332189172506332, 0.09964758902788162], [-0.0006249141879379749, 0.07473569363355637], [-0.0004686856409534812, 0.056051768362522125], [-0.0003515142307151109, 0.042038824409246445], [-0.0002636356803122908, 0.03152912110090256], [-0.00019772675295826048, 0.02364683896303177], [-0.00014829506108071655, 0.017735129222273827], [-0.00011122129944851622, 0.013301347382366657], [-8.341597276739776e-05, 0.009976010769605637], [-6.256197957554832e-05, 0.0074820080772042274], [-4.6921486500650644e-05, 0.005611505825072527], [-3.519111487548798e-05, 0.004208629485219717], [-2.6393334337626584e-05, 0.003156471997499466], [-1.979500120796729e-05, 0.30236735939979553], [-1.4846251360722817e-05, 0.22677551209926605], [-1.1134688065794762e-05, 0.17008163034915924], [-8.351015821972396e-06, 0.12756122648715973], [-6.263262093852973e-06, 0.0956709235906601], [-4.697446456702892e-06, 0.07175318896770477], [-3.5230850699008442e-06, 0.05381489172577858], [-2.642313802425633e-06, 0.04036116972565651], [-1.981735294975806e-06, 0.030270876362919807], [-1.4863014712318545e-06, 0.022703157737851143], [-1.1147261602673098e-06, 0.017027368769049644], [-8.360445917787729e-07, 0.012770526111125946], [-6.270334438340797e-07, 0.00957789458334446], [-4.7027506866470503e-07, 0.007183420937508345], [-3.5270630860395613e-07, 0.005387565586715937], [-2.645297172421124e-07, 0.004040674306452274], [-1.98397302142439e-07, 0.0030305057298392057], [-1.4879796594868822e-07, 0.0022728792391717434], [-1.1159848156694352e-07, 0.0017046595457941294], [-8.369885762249396e-08, 0.0012784946011379361], [-6.277414144051363e-08, 0.0009588709799572825], [-4.708060785674206e-08, 0.0007191532058641315], [-3.531045678073497e-08, 0.000539364933501929], [-2.6482842585551225e-08, 0.00040452368557453156], [-1.986213149507421e-08, 0.00030339276418089867], [-1.4896598621305657e-08, 0.000227544573135674], [-1.1172448743934638e-08, 0.0001706584298517555], [-8.379337224084793e-09, 0.00012799382966477424], [-6.28450269601899e-09, 9.599536861060187e-05], [-4.7133767999696374e-09, 7.1996524638962e-05], [-3.5350327109995305e-09, 5.3997395298210904e-05], [-2.651274533249648e-09, 4.0498045564163476e-05], [-1.9884558444260847e-09, 3.0373534173122607e-05], [-1.4913419388307148e-09, 2.2780150175094604e-05], [-1.1185063986118848e-09, 1.7085112631320953e-05], [-8.388798544700649e-10, 1.2813834473490715e-05], [-6.291598908525486e-10, 9.610375855118036e-06], [-4.718699320171993e-10, 7.207781891338527e-06], [-3.5390243513511166e-10, 5.405836418503895e-06], [-2.6542681941243984e-10, 4.0543773138779216e-06]]"
2,agent_1,5.11412951592954,0,150,12.339337,1.1313708498984762,0.09168813672120328,0,42,0.28,1,ppo,0,0,2,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [0.0, 0.6937500238418579], [0.30000001192092896, 0.520312488079071], [0.22499999403953552, 0.690234363079071], [0.16875000298023224, 0.5176757574081421], [0.12656250596046448, 0.6882568597793579], [0.09492187201976776, 0.516192615032196], [0.07119140774011612, 0.6871444582939148], [0.05339355394244194, 0.5153583288192749], [0.04004516452550888, 0.6865187883377075], [0.03003387525677681, 0.5148890614509583], [0.022525405511260033, 0.6861668229103088], [0.016894053667783737, 0.5146251320838928], [0.012670541182160378, 0.685968816280365], [0.009502905420958996, 0.5144765973091125], [0.0071271792985498905, 0.6858574748039246], [0.00534538459032774, 0.5143930912017822], [0.004009038209915161, 0.6857948303222656], [0.003006778657436371, 0.5143461227416992], [0.002255083993077278, 0.6857596039772034], [0.0016913129948079586, 0.5143197178840637], [0.001268484746105969, 0.3857397735118866], [0.0009513635886833072, 0.5893048048019409], [0.0007135226624086499, 0.4419786334037781], [0.0005351420259103179, 0.33148396015167236], [0.0004013565194327384, 0.5486129522323608], [0.00030101739685051143, 0.411459743976593], [0.00022576304036192596, 0.6085947751998901], [0.00016932227299548686, 0.45644611120224], [0.00012699171202257276, 0.3423345685005188], [9.524378401692957e-05, 0.5567509531974792], [7.143283437471837e-05, 0.41756319999694824], [5.3574625781038776e-05, 0.3131723999977112], [4.0180970245273784e-05, 0.5348793268203735], [3.013572859345004e-05, 0.40115946531295776], [2.260179644508753e-05, 0.3008696138858795], [1.6951345969573595e-05, 0.5256522297859192], [1.2713509931927547e-05, 0.3942391574382782], [9.53513244894566e-06, 0.29567936062812805], [7.1513495640829206e-06, 0.22175952792167664], [5.36351217306219e-06, 0.46631965041160583], [4.022634129796643e-06, 0.3497397303581238], [3.016975597347482e-06, 0.26230481266975403], [2.2627316411671927e-06, 0.4967285990715027], [1.6970487877188134e-06, 0.3725464642047882], [1.2727865623674006e-06, 0.27940982580184937], [9.5458995019726e-07, 0.20955738425254822], [7.159424626479449e-07, 0.15716803073883057], [5.369568043533945e-07, 0.4178760349750519], [4.0271763168675534e-07, 0.3134070038795471], [3.0203821665963915e-07, 0.23505526781082153], [2.2652866960015672e-07, 0.17629145085811615], [1.6989649509469018e-07, 0.13221858441829681], [1.2742236776830396e-07, 0.3991639316082001], [9.556678293165533e-08, 0.29937294125556946], [7.167508186967098e-08, 0.2245297133922577], [5.375631317861007e-08, 0.16839729249477386], [4.031723577213597e-08, 0.1262979656457901], [3.02379277172804e-08, 0.09472347050905228], [0.00046268405276350677, 0.392225980758667], [0.006131935399025679, 0.559037446975708], [0.006141979712992907, 0.5256361365318298], [0.004606484901160002, 0.3942270874977112], [0.0034548635594546795, 0.2956703305244446], [0.002591147553175688, 0.22175273299217224], [0.0019433607812970877, 0.16631455719470978], [0.0014575205277651548, 0.12473591417074203], [0.001093140454031527, 0.09355193376541138], [0.0008198553114198148, 0.07016395032405853], [0.0006148914690129459, 0.0526229664683342], [0.30046117305755615, 0.0394672229886055], [0.22534587979316711, 0.02960047498345375], [0.16901004314422607, 0.022202152758836746], [0.12675756216049194, 0.01665167510509491], [0.09506817907094955, 0.012488757260143757], [0.07130113244056702, 0.009366567246615887], [0.05348129943013191, 0.007031605578958988], [0.061070766299963, 0.03759765625], [0.09666890650987625, 0.12668821215629578], [0.10535647720098495, 0.1711154729127884], [0.13250577449798584, 0.22468611598014832], [0.09948576241731644, 0.16868562996387482], [0.07461432367563248, 0.1265142261981964], [0.05596074089407921, 0.09488566964864731], [0.04197055473923683, 0.07116425037384033], [0.0314779169857502, 0.05337318778038025], [0.023608438670635223, 0.04002989083528519], [0.017706329002976418, 0.03002241812646389], [0.013279746286571026, 0.3225167989730835], [0.009959809482097626, 0.24188761413097382], [0.007469857577234507, 0.18141570687294006], [0.0056023928336799145, 0.13606178760528564], [0.004201794974505901, 0.10204633325338364], [0.0031513459980487823, 0.07653474807739258], [0.0023635094985365868, 0.05740106478333473], [0.00177263212390244, 0.043050799518823624], [0.001329474151134491, 0.032288096845149994], [0.0009971056133508682, 0.024216074496507645], [0.0007478292100131512, 0.01816205494105816], [0.0005608719075098634, 0.013621541671454906], [0.00042065393063239753, 0.31021615862846375], [0.00031549044069834054, 0.2326621115207672], [0.00023661783779971302, 0.174496591091156], [0.00017746337107382715, 0.130872443318367], [0.00013309753558132797, 0.09815432876348495], [9.982314804801717e-05, 0.07361574470996857], [7.486736285500228e-05, 0.055211812257766724], [5.615052214125171e-05, 0.04140885919332504], [4.211288978694938e-05, 0.031056644394993782], [3.1584666430717334e-05, 0.023292481899261475], [2.3688500732532702e-05, 0.017469361424446106], [1.7766375094652176e-05, 0.013102021999657154], [1.3324781320989132e-05, 0.009826515801250935], [9.993585990741849e-06, 0.007369887083768845], [7.495189493056387e-06, 0.0055274153128266335], [5.62139211979229e-06, 0.004145561717450619], [4.2160440898442175e-06, 0.0031091710552573204], [3.162033181070001e-06, 0.0023318782914429903], [2.3715249426459195e-06, 0.0017489087767899036], [1.7786436501410208e-06, 0.0013116815825924277], [1.3339827091840561e-06, 0.0009837611578404903], [1.0004870318880421e-06, 0.0007378208683803678], [7.50365302337741e-07, 0.0005533656803891063], [5.627739483315963e-07, 0.0004150242602918297], [4.220804896704067e-07, 0.00031126817339099944], [3.1656034593652294e-07, 0.0002334511373192072], [2.3742026655781956e-07, 0.0001750883529894054], [1.7806520702379203e-07, 0.00013131626474205405], [1.3354889460970298e-07, 9.848720219451934e-05], [1.001616780627046e-07, 7.38653980079107e-05], [7.512125677067161e-08, 5.539905032492243e-05], [5.6340940801646866e-08, 4.154928683419712e-05], [4.225570648941357e-08, 3.116196603514254e-05], [3.169177986706018e-08, 2.3371474526356906e-05], [2.3768835788473552e-08, 1.752860589476768e-05], [1.7826625509087535e-08, 1.3146453966328409e-05], [1.336997001999407e-08, 9.859840247372631e-06], [1.0027477514995553e-08, 7.394880412903149e-06], [7.520608136246665e-09, 5.546160537051037e-06], [5.640456102184999e-09, 4.159620402788278e-06], [4.230341854594144e-09, 3.1197153020912083e-06], [3.1727565019679105e-09, 2.3397863060381496e-06], [2.379567431987084e-09, 1.754839786372031e-06], [1.7846755184791618e-09, 1.3161298966224422e-06], [1.3385066388593714e-09, 9.870973372017033e-07], [1.0038799791445285e-09, 7.403230597446964e-07], [7.52910012113972e-10, 5.552422521759581e-07], [5.646824674521156e-10, 4.164317033428233e-07]]"
