episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,steps_to_first_comm,num_messages,arrival_time,coordination_score,exploration_coverage,exploration_efficiency,congestion_ratio,communication_effectiveness,velocity_std,avg_goal_alignment,avg_proximity_to_others,exit_queue_time,passed_exit,scenario_id,algorithm,num_obstacles,num_exits,num_agents,trajectory,messages,reward_curve,dist_to_goal_curve,velocity_profile,proximity_profile
1,agent_0,301.49531530305694,1,21,4.7476945,1.1313708498984762,0.23829900001439133,0,1,,21,16,0.0,19,0.9047619047619048,0.0,0.0,0.15079308,-0.2153809668675652,0.7519471,0,0,1,ppo,0,0,2,"[[0.0, 0.0], [-0.30000001192092896, 0.0], [-0.5249999761581421, 0.0], [-0.6937500238418579, 0.0], [-0.8203125, 0.0], [-0.915234386920929, 0.0], [-0.9864257574081421, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-0.75, 0.30000001192092896], [-0.4404158890247345, 0.8124008774757385], [-0.44829249382019043, 0.893886923789978], [-0.5070054531097412, 0.8619428873062134], [-0.6802540421485901, 0.6464571356773376], [-0.8101905584335327, 0.48484286665916443], [-0.6076428890228271, 0.6636321544647217], [-0.45573219656944275, 0.7977241277694702], [-0.6417991518974304, 0.5982930660247803], [-0.4813493490219116, 0.7487198114395142], [-0.3610120117664337, 0.26153984665870667], [-0.2707590162754059, -0.10384510457515717], [-0.20306925475597382, -0.37788382172584534]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[2.0263814171192482, 3.391296555146827, 4.41092200984151, 5.152924804362634, 5.665399289517735, 5.977301980680757, 6.098297534060563, 5.875474756528036, 5.94267702108049, 6.295028434586585, 7.410371680486209, 7.822113359501091, 7.968485891953339, 7.7993463085421, 7.681626615471961, 205.6253368707185, 1.306054262524044, 1.217729773193107, 1.1523446039401604, 1.1165679097758723, 1.559634224026116]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 0.8246211251235323, 0.8246211251235323, 0.5024937691942769, 0.3597978802439508, 0.3640232470076134, 0.29947074280346375, 0.1947164749222807, 0.3153218453846807, 0.23579110975483777, 0.34427532597226673, 0.2563458514469387, 0.322750515270787, 0.6947300127025483, 1.047392950099557, 1.3205061954042745]","[0.30000001192092896, 0.22499996423721313, 0.16875004768371582, 0.1265624761581421, 0.09492188692092896, 0.07119137048721313, 0.01357424259185791, 0.0, 0.39051249623298645, 0.5986626744270325, 0.08186584711074829, 0.06684035807847977, 0.27649447321891785, 0.20737086236476898, 0.2701687812805176, 0.2026265412569046, 0.2727520167827606, 0.21993713080883026, 0.5018220543861389, 0.3763664960861206, 0.28227493166923523]","[0.4242640733718872, 0.7424620389938354, 0.981110692024231, 1.1600971221923828, 1.2943369150161743, 1.3950166702270508, 1.0184953212738037, 1.153870940208435, 0.4421354830265045, 0.32066696882247925, 0.9391345977783203, 1.0098097324371338, 0.6524477005004883, 0.6659752726554871, 0.4994813799858093, 0.3746110498905182, 0.28095829486846924, 0.3207477629184723, 0.3750269114971161, 0.6747872233390808, 1.0654523372650146]"
1,agent_1,310.68219862305324,1,21,4.8797007,1.1313708498984762,0.23185251075111826,0,0,,21,21,0.0,20,0.9523809523809523,0.0,0.0,0.11243873,-0.053508586707795305,0.7519471,0,0,1,ppo,0,0,2,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [0.0, 0.6937500238418579], [-0.0, 0.8203125], [-0.0, 0.915234386920929], [-0.0, 0.9864257574081421], [-0.30000001192092896, 0.739819347858429], [-0.22499999403953552, 0.8548644781112671], [-0.46875, 0.6411483883857727], [-0.4736466109752655, 0.49346041679382324], [-0.32528355717658997, -0.03715689107775688], [-0.2572421133518219, -0.1164916381239891], [-0.19293159246444702, 0.21263127028942108], [-0.14469869434833527, 0.45947346091270447], [-0.10852402448654175, 0.6446051001548767], [-0.08139301836490631, 0.7834538221359253], [-0.3610447645187378, 0.5875903367996216], [-0.5707835555076599, 0.4406927824020386], [-0.42808768153190613, 0.6305195689201355], [-0.6210657358169556, 0.4728896915912628], [-0.46579933166503906, 0.6546672582626343]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[2.0127200417810234, 3.424625039854182, 4.490107205905497, 5.2831113084813826, 5.8574000805602955, 6.248493879933405, 6.750730711383488, 6.433641328463014, 6.86097918122139, 6.724691832241003, 5.155234334437422, 1.8243829416821957, 2.9354903912020553, 4.248569153387249, 5.194097136895903, 5.861116884457471, 6.517583294065196, 6.505847396823959, 6.6770309054669035, 6.986155550869203, 204.690190023941]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 0.5036086764257105, 0.5776115630879942, 0.36736956462455805, 0.44774216978094245, 0.962386284901176, 1.0651493070316431, 0.8447094625192566, 0.7384972071792473, 0.7087218069243846, 0.718797447168957, 0.48764696633662, 0.42619462108724326, 0.40870819559598953, 0.37285201456608325, 0.3644333855952751]","[0.30000001192092896, 0.22499996423721313, 0.16875004768371582, 0.1265624761581421, 0.09492188692092896, 0.07119137048721313, 0.3883487284183502, 0.13733310997486115, 0.32417377829551697, 0.14776912331581116, 0.5509685277938843, 0.10451622307300568, 0.33534717559814453, 0.2515103816986084, 0.1886327862739563, 0.14147458970546722, 0.3414199948310852, 0.2560649514198303, 0.2374790906906128, 0.24917404353618622, 0.23906220495700836]","[0.4242640733718872, 0.7424620389938354, 0.981110692024231, 1.1600971221923828, 1.2943369150161743, 1.3950166702270508, 1.0184953212738037, 1.153870940208435, 0.4421354830265045, 0.32066696882247925, 0.9391345977783203, 1.0098097324371338, 0.6524477005004883, 0.6659752726554871, 0.4994813799858093, 0.3746110498905182, 0.28095829486846924, 0.3207477629184723, 0.3750269114971161, 0.6747872233390808, 1.0654523372650146]"
2,agent_0,258.10958661349906,1,18,4.8476667,1.1313708498984762,0.23338461789579262,0,0,,18,17,0.05555555555555555,17,0.9444444444444444,0.0,0.0,0.07660794,-0.0975229087355573,0.7357366,0,0,1,ppo,0,0,2,"[[0.0, 0.0], [0.0, -0.30000001192092896], [0.0, -0.5249999761581421], [0.0, -0.6937500238418579], [0.0, -0.8203125], [0.30000001192092896, -0.615234375], [0.5249999761581421, -0.46142578125], [0.09375, -0.3460693359375], [0.0703125, 0.04044799879193306], [-0.24726562201976776, 0.03033599816262722], [-0.4854492247104645, 0.022751998156309128], [-0.36408692598342896, 0.31706398725509644], [-0.5730651617050171, 0.23779800534248352], [-0.4297989010810852, 0.4783484935760498], [-0.6223491430282593, 0.35876137018203735], [-0.46676188707351685, 0.5690710544586182], [-0.35007140040397644, 0.7268033027648926], [-0.5625535845756531, 0.5451024770736694], [-0.4219151735305786, 0.7088268399238586]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[1.6308716632216096, 1.726733398617636, 1.2650419943370896, 1.1212099008872396, 1.087055289023513, 1.0274298311632493, 0.9576792133082553, 0.9285211520992774, 2.610161131323464, 3.5479246187349833, 4.820168712731094, 5.270828444516459, 5.8802872386405785, 6.226029934881747, 6.445273407701485, 6.896042127547404, 205.3614828254158, 1.3068457293481912]","[1.1313708498984762, 1.36014706051443, 1.5477806488062438, 1.6944878676837882, 1.80704526718515, 1.7924531688185565, 1.829431588887994, 1.4533629915737576, 1.1551463501199446, 0.9475747824449074, 0.8384847324819087, 0.650574669430437, 0.6062759302733866, 0.4904167056958487, 0.475658864551505, 0.4054328770532282, 0.45584372455981764, 0.3483583605884188, 0.3889224615841598]","[0.30000001192092896, 0.22499996423721313, 0.16875004768371582, 0.1265624761581421, 0.3633965253829956, 0.2725473642349243, 0.44641196727752686, 0.38722729682922363, 0.3177390694618225, 0.23830431699752808, 0.3183525800704956, 0.2235061526298523, 0.27998170256614685, 0.2266642302274704, 0.26160573959350586, 0.1962043195962906, 0.2795780301094055, 0.21583518385887146]","[0.4242640733718872, 0.7424620389938354, 0.981110692024231, 1.1600971221923828, 1.362096905708313, 1.5802916288375854, 1.1471935510635376, 1.071076512336731, 0.7533454298973083, 0.5150535702705383, 0.7105737328529358, 0.4886934161186218, 0.7442759275436401, 0.5208933353424072, 0.3906700015068054, 0.29300254583358765, 0.20466206967830658, 0.15349653363227844]"
2,agent_1,311.4093730026095,1,18,2.0678074,1.1313708498984762,0.5471354973424551,0,7,,18,18,0.05555555555555555,10,0.5555555555555556,0.0,0.0,0.123718135,0.012055681313254346,0.7357366,0,0,1,ppo,0,0,2,"[[0.0, 0.0], [-0.30000001192092896, 0.0], [-0.5249999761581421, 0.0], [-0.6937500238418579, 0.0], [-0.8203125, 0.0], [-0.915234386920929, 0.0], [-0.9864257574081421, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-1.0, 0.0], [-0.75, 0.30000001192092896], [-0.5625, 0.5249999761581421], [-0.421875, 0.6937500238418579], [-0.31640625, 0.8203125]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[1.9392308691940068, 3.4490770480668833, 4.607848083100184, 5.501446220346972, 6.194115033771521, 6.7334037640392665, 7.153806182002436, 7.282708681769585, 7.3319258665424085, 7.361033623931071, 7.358053676587979, 7.301005556380457, 7.146855869645501, 6.805808147468225, 6.551400160654955, 6.5430953292582466, 6.873594115541234, 205.27496477430861]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 0.8246211251235323, 0.8246211251235323, 0.8246211251235323, 0.8246211251235323, 0.8246211251235323, 0.8246211251235323, 0.8246211251235323, 0.8246211251235323, 0.5024937691942769, 0.3633610643877828, 0.39276910909414176, 0.48402015732334175]","[0.30000001192092896, 0.22499996423721313, 0.16875004768371582, 0.1265624761581421, 0.09492188692092896, 0.07119137048721313, 0.01357424259185791, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39051249623298645, 0.29288432002067566, 0.21966330707073212, 0.1647474318742752]","[0.4242640733718872, 0.7424620389938354, 0.981110692024231, 1.1600971221923828, 1.362096905708313, 1.5802916288375854, 1.1471935510635376, 1.071076512336731, 0.7533454298973083, 0.5150535702705383, 0.7105737328529358, 0.4886934161186218, 0.7442759275436401, 0.5208933353424072, 0.3906700015068054, 0.29300254583358765, 0.20466206967830658, 0.15349653363227844]"
