episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions_obstacle,collisions_agent,total_collisions,stationary_steps,congestion_ratio,discovery_steps,info_sharing_steps,communication_efficiency,group_success_rate,coordination_index,bottleneck_time,near_miss_events,safety_violations,risk_exposure_time,time_to_first_movement,exploration_time,exploration_ratio,waiting_time,scenario_id,algorithm,num_obstacles,num_exits,num_agents,initial_position,trajectory
1,agent_0,-1.8071784653716374,1,11,0.6161566372225176,0.7517739497815648,1.2201020071298374,0,0,0,1,0.09090909090909091,11,11,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,ppo,0,0,2,"[0.18924814166797055, 0.36165511396373384]","[[0.18924814166797055, 0.36165511396373384], [0.18924814166797055, 0.36165511396373384], [0.21924814166797055, 0.36165511396373384], [0.24324814166797054, 0.39165511396373387], [0.29244814166797056, 0.4156551139637339], [0.3618081416679706, 0.4348551139637339], [0.41729614166797063, 0.4802151139637339], [0.49168654166797066, 0.5165031139637339], [0.5511988616679706, 0.575533513963734], [0.6288087176679706, 0.622757833963734], [0.6908966024679707, 0.690537289963734]]"
1,agent_1,-0.8821439971473544,1,9,0.54576,0.6887246557152664,1.2619551739139299,0,0,0,1,0.1111111111111111,9,9,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,ppo,0,0,2,"[0.11523577748736025, 0.8737537182572661]","[[0.11523577748736025, 0.8737537182572661], [0.11523577748736025, 0.8737537182572661], [0.14523577748736025, 0.8737537182572661], [0.19923577748736027, 0.8737537182572661], [0.27243577748736025, 0.8737537182572661], [0.3609957774873603, 0.8737537182572661], [0.4609957774873603, 0.8737537182572661], [0.5609957774873603, 0.8737537182572661], [0.6609957774873603, 0.8737537182572661]]"
2,agent_0,-5.692026411664449,1,16,1.2457600000000002,1.3470720720886527,1.0813255138137783,0,0,0,1,0.0625,16,16,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,ppo,0,0,2,"[-0.5463330020000872, 0.844616310096747]","[[-0.5463330020000872, 0.844616310096747], [-0.5463330020000872, 0.844616310096747], [-0.5163330020000871, 0.844616310096747], [-0.46233300200008715, 0.844616310096747], [-0.38913300200008716, 0.844616310096747], [-0.30057300200008713, 0.844616310096747], [-0.20057300200008712, 0.844616310096747], [-0.10057300200008712, 0.844616310096747], [-0.0005730020000871139, 0.844616310096747], [0.09942699799991289, 0.844616310096747], [0.1994269979999129, 0.844616310096747], [0.2994269979999129, 0.844616310096747], [0.3994269979999129, 0.844616310096747], [0.49942699799991286, 0.844616310096747], [0.5994269979999128, 0.844616310096747], [0.6994269979999128, 0.844616310096747]]"
2,agent_1,-18.871147176752512,1,25,2.0191765100741628,2.07612150380765,1.0282020880539045,0,0,0,1,0.04,25,25,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,ppo,0,0,2,"[-0.6340855196474813, -0.7012259060214594]","[[-0.6340855196474813, -0.7012259060214594], [-0.6340855196474813, -0.7012259060214594], [-0.6340855196474813, -0.6712259060214594], [-0.6340855196474813, -0.6172259060214593], [-0.6040855196474813, -0.5740259060214593], [-0.5800855196474812, -0.5094659060214592], [-0.5308855196474812, -0.4578179060214592], [-0.4915255196474812, -0.3864995060214592], [-0.43003751964748116, -0.3294447860214592], [-0.38084711964748114, -0.25380101002145916], [-0.3114947996474811, -0.19328598922145912], [-0.2260129436474811, -0.1448739725814591], [-0.15762745884748108, -0.07614435926945906], [-0.07374838211113084, -0.021698969328184235], [-0.006645120722050646, 0.05185734262483562], [0.07515516652909852, 0.10937875607782269], [0.14039662186454852, 0.185164985075659], [0.22087152239178803, 0.24452650784193336], [0.28477599494351946, 0.3214434655813357], [0.3644491219002033, 0.381876840805165], [0.42755716162152874, 0.45944858387267384], [0.5067506780090381, 0.5205091027222651], [0.5693864724476694, 0.5984626610441373], [0.6482948926918833, 0.6598911659466866], [0.7106513936379639, 0.7380683159955432]]"
