episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,congestion_ratio,scenario_id,algorithm,num_obstacles,num_exits,num_agents,trajectory
1,agent_0,97.8,1,10,0.66909635,0.8,1.195642449998548,0,0,0.0,2,ppo,34,0,6,"[[0.0, 0.0], [0.0, 0.15000000596046448], [0.0, 0.27000001072883606], [0.0, 0.3659999966621399], [0.0, 0.44279998540878296], [0.0, 0.5042399764060974], [0.0, 0.5533919930458069], [0.0, 0.5927135944366455], [2.317698614546996e-39, 0.6241708993911743], [3.3179490155078243e-28, 0.6493366956710815], [5.338611431144175e-17, 0.6690963506698608]]"
1,agent_1,97.80394843142072,1,10,3.0576208,0.8,0.26164134201238853,0,1,0.1,2,ppo,34,0,6,"[[0.0, 0.0], [-0.9990646839141846, 0.043240372091531754], [-0.9999693036079407, 0.007834956049919128], [-0.9499754309654236, 0.006267964839935303], [-0.9099803566932678, 0.005014372058212757], [-0.8779842853546143, 0.004011497367173433], [-0.8523874282836914, 0.0032091981265693903], [-0.8319005370140076, 0.002567549468949437], [0.9995786547660828, 0.029025843366980553], [0.9989398717880249, 0.04603426158428192], [0.9991723299026489, 0.04067740589380264]]"
1,agent_2,97.26826616599091,1,10,3.0581992,0.8,0.26159185724942907,0,1,0.1,2,ppo,34,0,6,"[[0.0, 0.0], [0.9990646839141846, 0.043240372091531754], [0.9999693036079407, 0.007834956049919128], [0.9499754309654236, 0.006267964839935303], [0.9099803566932678, 0.005014372058212757], [0.8779842853546143, 0.004011497367173433], [0.8523874282836914, 0.0032091981265693903], [0.8319005370140076, 0.002567549468949437], [-0.9995786547660828, 0.029025843366980553], [-0.9989591836929321, 0.045613452792167664], [-0.9992291331291199, 0.039257749915122986]]"
1,agent_3,97.8,1,10,0.66909635,0.8,1.195642449998548,0,0,0.0,2,ppo,34,0,6,"[[0.0, 0.0], [0.0, -0.15000000596046448], [0.0, -0.27000001072883606], [1.1980853397036705e-22, -0.3659999966621399], [9.584682717629364e-23, -0.44279998540878296], [7.667746300321236e-23, -0.5042399764060974], [6.134196914039244e-23, -0.5533919930458069], [4.9073575943402675e-23, -0.5927135944366455], [3.925886201689959e-23, -0.6241708993911743], [3.1407420935099864e-23, -0.6493366956710815], [5.338614078122135e-17, -0.6690963506698608]]"
1,agent_4,97.80394843142072,1,10,3.0581992,0.8,0.26159185724942907,0,1,0.1,2,ppo,34,0,6,"[[0.0, 0.0], [-0.9990646839141846, -0.043240372091531754], [-0.9999693036079407, -0.007834956049919128], [-0.9499754309654236, -0.006267964839935303], [-0.9099803566932678, -0.005014372058212757], [-0.8779842853546143, -0.004011497367173433], [-0.8523874282836914, -0.0032091981265693903], [-0.8319005370140076, -0.002567549468949437], [0.9995786547660828, -0.029025843366980553], [0.9989591836929321, -0.045613452792167664], [0.9992291331291199, -0.039257749915122986]]"
1,agent_5,97.27904576047003,1,10,3.001413,0.8,0.2665411163015112,0,3,0.3,2,ppo,34,0,6,"[[0.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.949999988079071, 3.992954209218763e-23], [0.9100000262260437, 3.194363493592755e-23], [0.878000020980835, 2.555490763319768e-23], [0.852400004863739, 2.0443925159925058e-23], [0.8319097757339478, 1.635514075902877e-23], [-1.0, 8.913826243182153e-26], [-0.9999999403953552, -0.00042090201168321073], [-0.9999989867210388, -0.001413237303495407]]"
2,agent_0,98.5343011191961,1,10,0.66909635,0.8,1.195642449998548,0,0,0.0,2,ppo,34,0,6,"[[0.0, 0.0], [0.0, 0.15000000596046448], [0.0, 0.27000001072883606], [0.0, 0.3659999966621399], [0.0, 0.44279998540878296], [0.0, 0.5042399764060974], [0.0, 0.5533919930458069], [0.0, 0.5927135944366455], [2.317698614546996e-39, 0.6241708993911743], [3.3179490155078243e-28, 0.6493366956710815], [5.338611431144175e-17, 0.6690963506698608]]"
2,agent_1,97.80394843142072,1,10,3.0576208,0.8,0.26164134201238853,0,1,0.1,2,ppo,34,0,6,"[[0.0, 0.0], [-0.9990646839141846, 0.043240372091531754], [-0.9999693036079407, 0.007834956049919128], [-0.9499754309654236, 0.006267964839935303], [-0.9099803566932678, 0.005014372058212757], [-0.8779842853546143, 0.004011497367173433], [-0.8523874282836914, 0.0032091981265693903], [-0.8319005370140076, 0.002567549468949437], [0.9995786547660828, 0.029025843366980553], [0.9989398717880249, 0.04603426158428192], [0.9991723299026489, 0.04067740589380264]]"
2,agent_2,98.19550196032056,1,10,3.0581992,0.8,0.26159185724942907,0,1,0.1,2,ppo,34,0,6,"[[0.0, 0.0], [0.9990646839141846, 0.043240372091531754], [0.9999693036079407, 0.007834956049919128], [0.9499754309654236, 0.006267964839935303], [0.9099803566932678, 0.005014372058212757], [0.8779842853546143, 0.004011497367173433], [0.8523874282836914, 0.0032091981265693903], [0.8319005370140076, 0.002567549468949437], [-0.9995786547660828, 0.029025843366980553], [-0.9989591836929321, 0.045613452792167664], [-0.9992291331291199, 0.039257749915122986]]"
2,agent_3,98.5343011191961,1,10,0.66909635,0.8,1.195642449998548,0,0,0.0,2,ppo,34,0,6,"[[0.0, 0.0], [0.0, -0.15000000596046448], [0.0, -0.27000001072883606], [1.1980853397036705e-22, -0.3659999966621399], [9.584682717629364e-23, -0.44279998540878296], [7.667746300321236e-23, -0.5042399764060974], [6.134196914039244e-23, -0.5533919930458069], [4.9073575943402675e-23, -0.5927135944366455], [3.925886201689959e-23, -0.6241708993911743], [3.1407420935099864e-23, -0.6493366956710815], [5.338614078122135e-17, -0.6690963506698608]]"
2,agent_4,97.80394843142072,1,10,3.0581992,0.8,0.26159185724942907,0,1,0.1,2,ppo,34,0,6,"[[0.0, 0.0], [-0.9990646839141846, -0.043240372091531754], [-0.9999693036079407, -0.007834956049919128], [-0.9499754309654236, -0.006267964839935303], [-0.9099803566932678, -0.005014372058212757], [-0.8779842853546143, -0.004011497367173433], [-0.8523874282836914, -0.0032091981265693903], [-0.8319005370140076, -0.002567549468949437], [0.9995786547660828, -0.029025843366980553], [0.9989591836929321, -0.045613452792167664], [0.9992291331291199, -0.039257749915122986]]"
2,agent_5,98.18674150001539,1,10,3.001413,0.8,0.2665411163015112,0,3,0.3,2,ppo,34,0,6,"[[0.0, 0.0], [1.0, 0.0], [1.0, 0.0], [0.949999988079071, 3.992954209218763e-23], [0.9100000262260437, 3.194363493592755e-23], [0.878000020980835, 2.555490763319768e-23], [0.852400004863739, 2.0443925159925058e-23], [0.8319097757339478, 1.635514075902877e-23], [-1.0, 8.913826243182153e-26], [-0.9999999403953552, -0.00042090201168321073], [-0.9999989867210388, -0.001413237303495407]]"
