episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,congestion_ratio,scenario_id,algorithm,num_obstacles,num_exits,num_agents,trajectory
1,agent_0,108.3371885773022,1,73,8.154469,1.1313708498984762,0.1387424385600912,0,0,0.0,1,ppo,0,0,2,"[[0.0, 0.0], [-0.0, 0.15000000596046448], [-0.0, 0.27000001072883606], [-0.0, 0.3659999966621399], [-0.0, 0.44279998540878296], [-0.0, 0.5042399764060974], [-0.0, 0.5533919930458069], [-0.0, 0.5927135944366455], [-0.0, 0.6241708993911743], [-0.0, 0.6493366956710815], [0.15000000596046448, 0.5194693803787231], [0.11999999731779099, 0.5655754804611206], [0.2460000067949295, 0.452460378408432], [0.19679999351501465, 0.5119683146476746], [0.30744001269340515, 0.4095746576786041], [0.24595199525356293, 0.4776597321033478], [0.3467616140842438, 0.3821277916431427], [0.27740928530693054, 0.4557022154331207], [0.371927410364151, 0.3645617663860321], [0.29754194617271423, 0.4416494071483612], [0.38803353905677795, 0.35331952571868896], [0.31042683124542236, 0.4326556324958801], [0.24834147095680237, 0.4961245059967041], [0.34867316484451294, 0.39689961075782776], [0.27893853187561035, 0.4675196707248688], [0.3731508255004883, 0.374015748500824], [0.29852065443992615, 0.44921261072158813], [0.3888165354728699, 0.35937008261680603], [0.31105321645736694, 0.4374960660934448], [0.39884257316589355, 0.3499968349933624], [0.3190740644931793, 0.4299974739551544], [0.40525925159454346, 0.343997985124588], [0.3242073953151703, 0.42519837617874146], [0.4093659222126007, 0.34015870094299316], [0.32749274373054504, 0.42212697863578796], [0.41199418902397156, 0.33770158886909485], [0.3295953571796417, 0.42016124725341797], [0.41367629170417786, 0.33612900972366333], [0.33094102144241333, 0.4189032018184662], [0.4147528111934662, 0.33512255549430847], [0.33180224895477295, 0.4180980622768402], [0.4154418110847473, 0.3344784379005432], [0.3323534429073334, 0.41758275032043457], [0.41588276624679565, 0.3340662121772766], [0.3327062129974365, 0.41725295782089233], [0.41616496443748474, 0.33380237221717834], [0.3329319655895233, 0.4170418977737427], [0.4163455665111542, 0.33363351225852966], [0.33307644724845886, 0.41690680384635925], [0.41646116971969604, 0.3335254490375519], [0.3331689238548279, 0.41682034730911255], [0.4165351390838623, 0.33345627784729004], [0.33322811126708984, 0.416765034198761], [0.2665824890136719, 0.4834120273590088], [0.3632659912109375, 0.3867296278476715], [0.2906127870082855, 0.45938369631767273], [0.38249024748802185, 0.3675069510936737], [0.3059921860694885, 0.4440055787563324], [0.3947937488555908, 0.3552044630050659], [0.31583499908447266, 0.43416357040405273], [0.4026679992675781, 0.34733083844184875], [0.322134405374527, 0.427864670753479], [0.25770750641822815, 0.49229174852371216], [0.3561660051345825, 0.3938333988189697], [0.28493282198905945, 0.46506670117378235], [0.37794625759124756, 0.3720533847808838], [0.3023569881916046, 0.4476426839828491], [0.24188560247421265, 0.5081141591072083], [0.3435084819793701, 0.40649133920669556], [0.27480679750442505, 0.475193053483963], [0.3698454201221466, 0.38015446066856384], [0.2958763539791107, 0.4541235566139221], [0.23670107126235962, 0.5132988691329956], [0.3393608629703522, 0.41063907742500305]]"
1,agent_1,107.41936395208823,1,73,6.019306,1.1313708498984762,0.18795701955149083,0,13,0.1780821917808219,1,ppo,0,0,2,"[[0.0, 0.0], [0.0, 0.15000000596046448], [0.0, 0.27000001072883606], [0.0, 0.3659999966621399], [0.0, 0.44279998540878296], [0.0, 0.5042399764060974], [0.0, 0.5533919930458069], [0.0, 0.5927135944366455], [0.0, 0.6241708993911743], [0.0, 0.6493366956710815], [0.0, 0.6694693565368652], [0.0, 0.6855754852294922], [0.0, 0.6984604001045227], [0.0, 0.7087683081626892], [0.0, 0.7170146703720093], [0.0, 0.7236117124557495], [0.0, 0.7288894057273865], [0.0, 0.7331115007400513], [0.0, 0.7364891767501831], [0.0, 0.7391913533210754], [0.0, 0.7413530945777893], [0.0, 0.7430824637413025], [0.0, 0.7444659471511841], [0.0, 0.7455728054046631], [0.0, 0.7464582324028015], [0.0, 0.7471665740013123], [0.0, 0.7477332353591919], [0.15000000596046448, 0.5981866121292114], [0.11999999731779099, 0.6285492777824402], [0.09600000083446503, 0.6528394222259521], [0.22679999470710754, 0.5222715735435486], [0.18143999576568604, 0.567817211151123], [0.2951520085334778, 0.45425379276275635], [0.23612159490585327, 0.513403058052063], [0.3388972878456116, 0.41072243452072144], [0.27111783623695374, 0.47857794165611267], [0.2168942540884018, 0.5328623652458191], [0.3235154151916504, 0.4262898862361908], [0.2588123381137848, 0.4910319149494171], [0.3570498526096344, 0.39282551407814026], [0.2856398820877075, 0.46426042914390564], [0.378511905670166, 0.3714083433151245], [0.30280953645706177, 0.4471266567707062], [0.39224761724472046, 0.3577013313770294], [0.31379809975624084, 0.436161071062088], [0.25103849172592163, 0.49892884492874146], [0.3508307933807373, 0.3991430699825287], [0.2806646227836609, 0.46931445598602295], [0.37453168630599976, 0.37545156478881836], [0.29962536692619324, 0.4503612518310547], [0.3897002935409546, 0.3602890074253082], [0.31176021695137024, 0.4382311999797821], [0.24940818548202515, 0.5005849599838257], [0.3495265543460846, 0.40046796202659607], [0.2796212434768677, 0.47037437558174133], [0.3736969828605652, 0.37629950046539307], [0.29895758628845215, 0.4510396122932434], [0.23916608095169067, 0.5108316540718079], [0.3413328528404236, 0.40866535902023315], [0.27306628227233887, 0.4769322872161865], [0.2184530347585678, 0.5315458178520203], [0.3247624337673187, 0.42523664236068726], [0.2598099410533905, 0.4901893138885498], [0.3578479588031769, 0.39215147495269775], [0.2862783670425415, 0.4637211561203003], [0.22902268171310425, 0.5209769606590271], [0.33321815729141235, 0.41678154468536377], [0.26657453179359436, 0.48342522978782654], [0.21325962245464325, 0.5367401838302612], [0.3206076920032501, 0.42939215898513794], [0.2564861476421356, 0.49351373314857483], [0.20518893003463745, 0.544810950756073], [0.3141511380672455, 0.43584877252578735], [0.25132089853286743, 0.4986790120601654]]"
2,agent_0,108.3371885773022,1,73,8.154469,1.1313708498984762,0.1387424385600912,0,0,0.0,1,ppo,0,0,2,"[[0.0, 0.0], [-0.0, 0.15000000596046448], [-0.0, 0.27000001072883606], [-0.0, 0.3659999966621399], [-0.0, 0.44279998540878296], [-0.0, 0.5042399764060974], [-0.0, 0.5533919930458069], [-0.0, 0.5927135944366455], [-0.0, 0.6241708993911743], [-0.0, 0.6493366956710815], [0.15000000596046448, 0.5194693803787231], [0.11999999731779099, 0.5655754804611206], [0.2460000067949295, 0.452460378408432], [0.19679999351501465, 0.5119683146476746], [0.30744001269340515, 0.4095746576786041], [0.24595199525356293, 0.4776597321033478], [0.3467616140842438, 0.3821277916431427], [0.27740928530693054, 0.4557022154331207], [0.371927410364151, 0.3645617663860321], [0.29754194617271423, 0.4416494071483612], [0.38803353905677795, 0.35331952571868896], [0.31042683124542236, 0.4326556324958801], [0.24834147095680237, 0.4961245059967041], [0.34867316484451294, 0.39689961075782776], [0.27893853187561035, 0.4675196707248688], [0.3731508255004883, 0.374015748500824], [0.29852065443992615, 0.44921261072158813], [0.3888165354728699, 0.35937008261680603], [0.31105321645736694, 0.4374960660934448], [0.39884257316589355, 0.3499968349933624], [0.3190740644931793, 0.4299974739551544], [0.40525925159454346, 0.343997985124588], [0.3242073953151703, 0.42519837617874146], [0.4093659222126007, 0.34015870094299316], [0.32749274373054504, 0.42212697863578796], [0.41199418902397156, 0.33770158886909485], [0.3295953571796417, 0.42016124725341797], [0.41367629170417786, 0.33612900972366333], [0.33094102144241333, 0.4189032018184662], [0.4147528111934662, 0.33512255549430847], [0.33180224895477295, 0.4180980622768402], [0.4154418110847473, 0.3344784379005432], [0.3323534429073334, 0.41758275032043457], [0.41588276624679565, 0.3340662121772766], [0.3327062129974365, 0.41725295782089233], [0.41616496443748474, 0.33380237221717834], [0.3329319655895233, 0.4170418977737427], [0.4163455665111542, 0.33363351225852966], [0.33307644724845886, 0.41690680384635925], [0.41646116971969604, 0.3335254490375519], [0.3331689238548279, 0.41682034730911255], [0.4165351390838623, 0.33345627784729004], [0.33322811126708984, 0.416765034198761], [0.2665824890136719, 0.4834120273590088], [0.3632659912109375, 0.3867296278476715], [0.2906127870082855, 0.45938369631767273], [0.38249024748802185, 0.3675069510936737], [0.3059921860694885, 0.4440055787563324], [0.3947937488555908, 0.3552044630050659], [0.31583499908447266, 0.43416357040405273], [0.4026679992675781, 0.34733083844184875], [0.322134405374527, 0.427864670753479], [0.25770750641822815, 0.49229174852371216], [0.3561660051345825, 0.3938333988189697], [0.28493282198905945, 0.46506670117378235], [0.37794625759124756, 0.3720533847808838], [0.3023569881916046, 0.4476426839828491], [0.24188560247421265, 0.5081141591072083], [0.3435084819793701, 0.40649133920669556], [0.27480679750442505, 0.475193053483963], [0.3698454201221466, 0.38015446066856384], [0.2958763539791107, 0.4541235566139221], [0.23670107126235962, 0.5132988691329956], [0.3393608629703522, 0.41063907742500305]]"
2,agent_1,107.41936395208823,1,73,6.019306,1.1313708498984762,0.18795701955149083,0,13,0.1780821917808219,1,ppo,0,0,2,"[[0.0, 0.0], [0.0, 0.15000000596046448], [0.0, 0.27000001072883606], [0.0, 0.3659999966621399], [0.0, 0.44279998540878296], [0.0, 0.5042399764060974], [0.0, 0.5533919930458069], [0.0, 0.5927135944366455], [0.0, 0.6241708993911743], [0.0, 0.6493366956710815], [0.0, 0.6694693565368652], [0.0, 0.6855754852294922], [0.0, 0.6984604001045227], [0.0, 0.7087683081626892], [0.0, 0.7170146703720093], [0.0, 0.7236117124557495], [0.0, 0.7288894057273865], [0.0, 0.7331115007400513], [0.0, 0.7364891767501831], [0.0, 0.7391913533210754], [0.0, 0.7413530945777893], [0.0, 0.7430824637413025], [0.0, 0.7444659471511841], [0.0, 0.7455728054046631], [0.0, 0.7464582324028015], [0.0, 0.7471665740013123], [0.0, 0.7477332353591919], [0.15000000596046448, 0.5981866121292114], [0.11999999731779099, 0.6285492777824402], [0.09600000083446503, 0.6528394222259521], [0.22679999470710754, 0.5222715735435486], [0.18143999576568604, 0.567817211151123], [0.2951520085334778, 0.45425379276275635], [0.23612159490585327, 0.513403058052063], [0.3388972878456116, 0.41072243452072144], [0.27111783623695374, 0.47857794165611267], [0.2168942540884018, 0.5328623652458191], [0.3235154151916504, 0.4262898862361908], [0.2588123381137848, 0.4910319149494171], [0.3570498526096344, 0.39282551407814026], [0.2856398820877075, 0.46426042914390564], [0.378511905670166, 0.3714083433151245], [0.30280953645706177, 0.4471266567707062], [0.39224761724472046, 0.3577013313770294], [0.31379809975624084, 0.436161071062088], [0.25103849172592163, 0.49892884492874146], [0.3508307933807373, 0.3991430699825287], [0.2806646227836609, 0.46931445598602295], [0.37453168630599976, 0.37545156478881836], [0.29962536692619324, 0.4503612518310547], [0.3897002935409546, 0.3602890074253082], [0.31176021695137024, 0.4382311999797821], [0.24940818548202515, 0.5005849599838257], [0.3495265543460846, 0.40046796202659607], [0.2796212434768677, 0.47037437558174133], [0.3736969828605652, 0.37629950046539307], [0.29895758628845215, 0.4510396122932434], [0.23916608095169067, 0.5108316540718079], [0.3413328528404236, 0.40866535902023315], [0.27306628227233887, 0.4769322872161865], [0.2184530347585678, 0.5315458178520203], [0.3247624337673187, 0.42523664236068726], [0.2598099410533905, 0.4901893138885498], [0.3578479588031769, 0.39215147495269775], [0.2862783670425415, 0.4637211561203003], [0.22902268171310425, 0.5209769606590271], [0.33321815729141235, 0.41678154468536377], [0.26657453179359436, 0.48342522978782654], [0.21325962245464325, 0.5367401838302612], [0.3206076920032501, 0.42939215898513794], [0.2564861476421356, 0.49351373314857483], [0.20518893003463745, 0.544810950756073], [0.3141511380672455, 0.43584877252578735], [0.25132089853286743, 0.4986790120601654]]"
