episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,steps_to_first_comm,num_messages,arrival_time,trajectory,messages,reward_curve,dist_to_goal_curve
1,agent_0,15.429506092085013,1,18,4.4638467,1.1313708498984762,0.2534519955803763,0,0,10,18,10,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [0.0, 0.6937500238418579], [0.0, 0.8203125], [0.0, 0.915234386920929], [0.0, 0.9864257574081421], [0.30000001192092896, 0.739819347858429], [0.22499999403953552, 0.8548644781112671], [0.46875, 0.6411483883857727], [0.05156249925494194, 0.48086127638816833], [-0.2613281309604645, 0.36064594984054565], [-0.4959960877895355, 0.27048447728157043], [-0.6719970703125, 0.20286335051059723], [-0.20399780571460724, 0.15214751660823822], [-0.15299835801124573, -0.1858893632888794], [-0.1147487610578537, -0.4394170343875885], [-0.08606157451868057, -0.6295627951622009], [-0.06454618275165558, -0.7721720933914185]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-0.007008211886589233, 3.6093084716138155, 1.307827934615795, 0.7060564610018827, 0.45256284194592783, 0.3154341215285847, 0.2579876246675705, 0.20572329632392075, 0.1850520757197589, 19.133792636828833, -1.1655857087162413, -1.5862952821816079, -1.8718851185854104, -0.9759688859363503, -0.7556346764054285, -1.086205405203912, -1.474959091865857, -1.8206969913796796]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 1.1016450141121816, 1.0264672906330088, 1.2786556991670734, 0.9093999203023454, 0.6951254303261124, 0.610577650621966, 0.6107019962076536, 0.8803019117495293, 1.1792323610647295, 1.4162358015534953, 1.5979229833414097, 1.7356893179782826]"
1,agent_1,43.234128171304285,1,18,3.8972056,1.1313708498984762,0.29030309626277506,0,0,18,18,18,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [-0.30000001192092896, 0.39375001192092896], [-0.22499999403953552, 0.5953124761581421], [-0.46875, 0.44648438692092896], [-0.651562511920929, 0.3348632752895355], [-0.4886718690395355, 0.5511474609375], [-0.66650390625, 0.413360595703125], [-0.799877941608429, 0.31002044677734375], [-0.8999084234237671, 0.2325153350830078], [-0.6749313473701477, 0.4743865132331848], [-0.506198525428772, 0.655789852142334], [-0.6796488761901855, 0.4918424189090729], [-0.8097366690635681, 0.36888179183006287], [-0.9073024988174438, 0.27666136622428894], [-0.9783320426940918, 0.20704211294651031], [-0.9889055490493774, 0.1485455483198166], [-0.7416791915893555, 0.11140916496515274]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8]]","[-0.12012261053580925, 6.282360769562763, 2.3138998934427133, 1.3989860768916254, 0.97640480347129, 0.7396222536889876, 0.5642603961828068, 0.47346817611147934, 0.39544998536577636, 0.32856087245225807, 0.29184467140895015, 0.23929441942825924, 0.2294618566369137, 0.21108441010100304, 0.18816179617470308, 0.1599265995726435, 0.10941323143310361, 28.45205056991482]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.6442352372335098, 0.6103457948335889, 0.4844583069683825, 0.48824774504507734, 0.3985634094158535, 0.40903696165695247, 0.4899795684255874, 0.5762122334582751, 0.34880698191849546, 0.32728561411305246, 0.3308254642346877, 0.4312281439564337, 0.5342257498985756, 0.6191941321349762, 0.6782906523575091, 0.6910561878658344]"
2,agent_0,29.089909405644548,1,22,5.2627816,1.1313708498984762,0.21497583057473804,0,0,19,22,19,"[[0.0, 0.0], [-0.30000001192092896, 0.0], [-0.22499999403953552, 0.30000001192092896], [-0.46875, 0.22499999403953552], [-0.3515625, 0.46875], [-0.263671875, 0.651562511920929], [-0.49775391817092896, 0.4886718690395355], [-0.3733154237270355, 0.66650390625], [-0.579986572265625, 0.4998779296875], [-0.43498992919921875, 0.674908459186554], [-0.626242458820343, 0.5061813592910767], [-0.7696818113327026, 0.3796359896659851], [-0.5772613883018494, 0.5847269892692566], [-0.7329460382461548, 0.43854525685310364], [-0.8497095108032227, 0.3289089500904083], [-0.637282133102417, 0.5466817021369934], [-0.7779616117477417, 0.41001129150390625], [-0.5834711790084839, 0.6075084805488586], [-0.7376034259796143, 0.4556313455104828], [-0.8532025814056396, 0.3417235016822815], [-0.9399018883705139, 0.2562926411628723], [-0.7049264311790466, 0.19221946597099304], [-0.5286948084831238, 0.44416460394859314]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-0.07607589142842766, 6.7163209434282125, 2.9753634380187917, 1.6840574652809024, 1.104748203422716, 0.813160077649713, 0.6178689045183594, 0.5130654948702675, 0.41532555465659715, 0.36740285593068367, 0.3157943669757806, 0.2808238587067205, 0.25141057755663754, 0.21525787654345307, 0.20737669034844117, 0.1799993377761103, 0.17519298435505617, 0.14809859229585134, 18.209257988036434, -2.3184340701735753, -1.912388556322782, -1.7937172868013946]","[1.1313708498984762, 0.9433981068875807, 0.7619875293819482, 0.6635899105279813, 0.5575148015131527, 0.5564903822468453, 0.4339100126850747, 0.4470804566023302, 0.3721278885975765, 0.385850029634667, 0.34135183717806417, 0.42145592147715955, 0.3097659734223537, 0.3676217691191247, 0.47370646266355404, 0.30107684108863386, 0.3906109103842448, 0.28972006382124316, 0.3499758600880952, 0.46135437960267983, 0.5614180531682972, 0.6151716516818192, 0.4474654579149887]"
2,agent_1,46.89689050992389,1,22,4.4404745,1.1313708498984762,0.2547860250749048,0,0,22,22,22,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [0.0, 0.6937500238418579], [0.0, 0.8203125], [0.0, 0.915234386920929], [0.0, 0.9864257574081421], [0.0, 1.0], [-0.30000001192092896, 0.75], [-0.22499999403953552, 0.862500011920929], [-0.46875, 0.6468750238418579], [-0.651562511920929, 0.48515623807907104], [-0.7886718511581421, 0.3638671934604645], [-0.591503918170929, 0.5729004144668579], [-0.7436279058456421, 0.42967528104782104], [-0.8577209711074829, 0.322256475687027], [-0.9432907104492188, 0.24169234931468964], [-0.7074680328369141, 0.4812692701816559], [-0.8306010365486145, 0.3609519600868225], [-0.6229507923126221, 0.5707139372825623], [-0.7672131061553955, 0.4280354678630829], [-0.8754097819328308, 0.32102659344673157], [-0.6565573811531067, 0.24076995253562927]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8]]","[-0.06549446991374189, 8.187249733504414, 2.930886409304591, 1.5544726962791426, 0.9752577189635289, 0.6677777057873704, 0.4784275308165763, 0.4286872684631415, 0.3375214229064483, 0.3344236047411176, 0.3185131607695791, 0.28945168521766396, 0.2552703617051671, 0.24163914238442852, 0.22050679991048924, 0.19596997904576588, 0.19091459006932762, 0.1744771661534141, 0.16354041819990728, 0.15624620022193095, 0.1411877018059525, 28.71996368358767]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 0.8246211251235323, 0.5024937691942769, 0.5783867722766924, 0.3649298848045082, 0.3480808559627303, 0.4362799008620902, 0.30829342822609707, 0.37459072394595966, 0.4812178150573513, 0.5764023425653234, 0.33189070953795125, 0.44011317270612654, 0.2896869353270753, 0.37340674013174036, 0.48487334366450763, 0.5773335525401737]"
