episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,steps_to_first_comm,num_messages,arrival_time,trajectory,messages,reward_curve,dist_to_goal_curve
1,agent_0,14.338224713357082,1,21,0.8466065,1.1313708498984762,1.3363597601223847,0,14,,21,1,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.0, 0.0], [0.30000001192092896, 0.0], [0.22499999403953552, 0.0], [0.16875000298023224, 0.0], [0.12656250596046448, 0.0], [0.09492187201976776, 0.0], [0.07119140774011612, 0.0], [-0.24660643935203552, 1.4582228052354416e-17]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[19.7, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.6013357360115914, 0.04083282378808101, -0.06166854842354902, -0.05456738144212789, -0.04988845310150103, -0.1067669598439687, -0.6283810316082517]","[1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.1313708498984762, 1.36014706051443, 1.300240357695856, 1.2563743742508442, 1.2241397295455025, 1.2003687587651413, 1.1827825112505703, 0.9727509614318726]"
1,agent_1,45.745087605367544,1,21,5.023485,1.1313708498984762,0.2252163206464586,0,0,21.0,21,21,"[[0.0, 0.0], [-0.30000001192092896, 0.0], [-0.5249999761581421, 0.0], [-0.6937500238418579, 0.0], [-0.8203125, 0.0], [-0.615234375, 0.30000001192092896], [-0.761425793170929, 0.22499999403953552], [-0.5710693597793579, 0.46875], [-0.42830199003219604, 0.651562511920929], [-0.6212264895439148, 0.4886718690395355], [-0.4659198820590973, 0.66650390625], [-0.6494399309158325, 0.4998779296875], [-0.487079918384552, 0.674908459186554], [-0.6653099656105042, 0.5061813592910767], [-0.4989824593067169, 0.6796360015869141], [-0.6742368340492249, 0.5097270011901855], [-0.8056776523590088, 0.38229525089263916], [-0.6042582392692566, 0.5867214202880859], [-0.45319366455078125, 0.7400410771369934], [-0.6398952603340149, 0.5550308227539062], [-0.47992143034935, 0.7162731289863586], [-0.6599410772323608, 0.5372048020362854]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8]]","[-0.0586086524770609, 7.4960857267258945, 2.684014125291756, 1.4235431816517679, 0.9588077360182039, 0.719392211055347, 0.5944287181225829, 0.49377117054737235, 0.42498910979854015, 0.3673570306315858, 0.32634577881748983, 0.2895847774007898, 0.26302475738158726, 0.23746552075258712, 0.21939583753950334, 0.18780088296378705, 0.1874484993635703, 0.17214772283132565, 0.16289133084355387, 0.15211991812583348, 28.443082221981527]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.5330462684052031, 0.5762924399009813, 0.4026609001775975, 0.40024130031925753, 0.3590058121648286, 0.3597648290896656, 0.3357701468136953, 0.3369968413224384, 0.32321942854952734, 0.32418983932106465, 0.3163459937283935, 0.41774333407387015, 0.28948676905500004, 0.35195128460996994, 0.2926489799472074, 0.33084812177091316, 0.2977882098398449]"
2,agent_0,10.222757171108542,1,25,3.8044112,1.1313708498984762,0.29738395733022976,0,1,6.0,25,6,"[[0.0, 0.0], [0.0, -0.30000001192092896], [0.0, -0.5249999761581421], [-0.30000001192092896, -0.39375001192092896], [-0.5249999761581421, -0.2953124940395355], [-0.6937500238418579, -0.22148437798023224], [-0.520312488079071, 0.13388672471046448], [-0.690234363079071, 0.10041503608226776], [-0.5176757574081421, 0.3753112852573395], [-0.0882568359375, 0.2814834713935852], [-0.066192626953125, 0.2111125886440277], [-0.04964447021484375, 0.15833444893360138], [-0.03723335266113281, 0.11875083297491074], [-0.02792501449584961, -0.21093687415122986], [-0.020943760871887207, -0.158202663064003], [-0.015707820653915405, -0.11865199357271194], [-0.011780865490436554, -0.08898899704217911], [-0.008835649117827415, -0.06674174219369888], [-0.006626736838370562, -0.05005630850791931], [-0.004970052745193243, -0.037542231380939484], [-0.0037275394424796104, -0.028156673535704613], [0.2972043454647064, -0.021117504686117172], [0.22290325164794922, -0.015838129445910454], [0.16717743873596191, -0.011878596618771553], [0.12538307905197144, -0.008908947929739952], [0.09403730928897858, -0.006681710481643677]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-0.17917836651502533, 1.1499616048352521, 0.4002269831716498, 0.2616228074604292, 0.167662723907727, 19.063917245336363, -1.3378836652099806, -1.4483259685111045, -0.8793262206733623, -0.8272538533377427, -0.7624367700039523, -0.7033862047076551, -0.5068515223657655, -0.44775798383052157, -0.40925722565934763, -0.382734453549474, -0.3635407629276223, -0.34921830265912074, -0.3383762303489968, -0.33013006169236253, -0.5333192541557505, -0.3879675464420839, -0.2808773403438476, -0.20298040953247812, -0.14983205113668602]","[1.1313708498984762, 1.36014706051443, 1.5477806488062438, 1.294233008016829, 1.1293070763579454, 1.0269953222343653, 0.7224486139798958, 0.7081437825670942, 0.509968118988667, 0.8805894173948186, 0.9408834380471864, 0.9873034490492311, 1.0226990690642843, 1.2720429028770586, 1.2349416857598527, 1.2079055045319353, 1.1881038847125553, 1.1735340974031296, 1.1627711994772845, 1.1547941835576347, 1.1488660963593849, 1.3704347238043082, 1.308404721670535, 1.262766428777516, 1.229092156445767, 1.204175274794441]"
2,agent_1,50.77499835822125,1,25,6.0777087,1.1313708498984762,0.1861508837959539,0,0,25.0,25,25,"[[0.0, 0.0], [-0.30000001192092896, 0.0], [-0.5249999761581421, 0.0], [-0.6937500238418579, 0.0], [-0.520312488079071, 0.30000001192092896], [-0.690234363079071, 0.22499999403953552], [-0.5176757574081421, 0.46875], [-0.6882568597793579, 0.3515625], [-0.516192615032196, 0.563671886920929], [-0.6871444582939148, 0.4227539002895355], [-0.8153583407402039, 0.31706541776657104], [-0.6115187406539917, 0.537799060344696], [-0.45863908529281616, 0.7033492922782898], [-0.6439793109893799, 0.5275119543075562], [-0.4829844832420349, 0.6956340074539185], [-0.662238359451294, 0.5217254757881165], [-0.49667876958847046, 0.6912941336631775], [-0.6725090742111206, 0.5184705853462219], [-0.5043818354606628, 0.6888529658317566], [-0.6782863736152649, 0.5166397094726562], [-0.5087147951126099, 0.6874797940254211], [-0.681536078453064, 0.515609860420227], [-0.5111520290374756, 0.6867073774337769], [-0.6833640336990356, 0.5150305032730103], [-0.5125230550765991, 0.686272919178009], [-0.6843922734260559, 0.5147046446800232]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8]]","[-0.06669025889007593, 9.198550200732818, 3.2984133390994077, 1.8252117741525327, 1.2864928455485853, 0.9790100418132022, 0.7741286444216514, 0.6458510409058569, 0.541878066553423, 0.44848681096213694, 0.41141977468693125, 0.3640682722762109, 0.3292817856809552, 0.298321751694861, 0.27301007379300296, 0.2518400138311653, 0.23223471164988194, 0.2173528261715014, 0.20129289970818792, 0.19085665617653158, 0.17682821506488886, 0.1700371503045901, 0.1563678094641622, 0.15308024593671254, 28.417673666482123]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.572909323020311, 0.585383209447616, 0.43523963566645246, 0.46215010634275544, 0.36932046896127696, 0.3937651496012968, 0.48317873436986936, 0.32291565134068934, 0.3547796969850906, 0.31399393377044094, 0.3337530498219431, 0.31050761734943166, 0.32221225022398414, 0.3090513670472993, 0.3158223589456632, 0.3083946515351127, 0.3122624974902534, 0.3080770231589519, 0.31027144350890573, 0.3079148627458466, 0.30915504649735825, 0.3078288261530224]"
3,agent_0,13.219206706956529,1,19,5.1377535,1.1313708498984762,0.22020730516594872,0,0,7.0,19,7,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [-0.30000001192092896, 0.39375001192092896], [-0.22499999403953552, 0.5953124761581421], [-0.46875, 0.44648438692092896], [-0.3515625, 0.6348632574081421], [-0.563671886920929, 0.47614747285842896], [-0.12275390326976776, 0.3571105897426605], [0.20793457329273224, 0.2678329348564148], [0.45595091581344604, 0.2008747160434723], [0.3419632017612457, -0.14934396743774414], [0.2564724087715149, -0.1120079755783081], [0.19235429167747498, -0.08400598168373108], [0.14426572620868683, -0.06300448626279831], [-0.19180071353912354, -0.04725336283445358], [-0.4438505172729492, -0.035440023988485336], [-0.3328878879547119, 0.27341997623443604], [0.05033407732844353, 0.20506498217582703], [0.03775055706501007, -0.1462012529373169]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[-0.010012754977004434, 1.9072580823284468, 0.6837540800797792, 0.4357676720187995, 0.24856314904733273, 0.18311150811696564, 18.48157334725128, -0.9102099753721085, -0.6713805409958038, -0.9577427038371396, -0.6749679103842315, -0.6065658327922657, -0.726680839260291, -0.7435173353099318, -0.30818830612164927, -0.8049462169804167, -1.3075193073401181, -0.7449142022914443, -0.2541752062236674]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.6442352372335098, 0.6103457948335889, 0.4844583069683825, 0.47787690377345043, 0.40091325292074875, 0.809205354192883, 1.1397955471321772, 1.3915328989314713, 1.485036673852613, 1.3956691936178611, 1.3289972219170814, 1.2792241809011178, 1.0429499666263045, 0.9081863727939474, 0.7039035776641228, 1.0377936781940158, 1.2637732418922643]"
3,agent_1,43.80797682645755,1,19,3.993083,1.1313708498984762,0.283332665473419,0,0,19.0,19,19,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [0.0, 0.6937500238418579], [0.0, 0.8203125], [0.0, 0.915234386920929], [0.0, 0.9864257574081421], [0.0, 1.0], [-0.30000001192092896, 0.75], [-0.22499999403953552, 0.862500011920929], [-0.46875, 0.6468750238418579], [-0.651562511920929, 0.48515623807907104], [-0.4886718690395355, 0.663867175579071], [-0.66650390625, 0.4979003965854645], [-0.4998779296875, 0.6734253168106079], [-0.674908459186554, 0.5050689578056335], [-0.5061813592910767, 0.6788017153739929], [-0.3796359896659851, 0.8091012835502625], [-0.5847269892692566, 0.6068259477615356], [-0.7385452389717102, 0.4551194906234741]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8]]","[-0.02714314879917329, 6.997073436837134, 2.5254481920598826, 1.3562626393629675, 0.8658134370408093, 0.6067127025959094, 0.44794376583131085, 0.3931747847534262, 0.32296987624929857, 0.30372712268276497, 0.26821487877316225, 0.24618755490906527, 0.21964145318935474, 0.20613945704310316, 0.1837080422602896, 0.17665059178944897, 0.1579568941041579, 0.1536300726666449, 28.40386507310799]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 0.8246211251235323, 0.5024937691942769, 0.5783867722766924, 0.3649298848045082, 0.3480808559627303, 0.3397901573208907, 0.3302807554637849, 0.32572136483988307, 0.3203626277095024, 0.31783394693507183, 0.42046252454452837, 0.2892381088434022, 0.3503130791176033]"
4,agent_0,36.95552493504193,1,11,2.0324144,1.1313708498984762,0.5566634588247069,0,0,11.0,11,11,"[[0.0, 0.0], [-0.30000001192092896, -1.3586773235719679e-35], [-0.5249999761581421, -2.3776854238706658e-35], [-0.6937500238418579, -3.141941427348208e-35], [-0.8203125, -3.7151335375760865e-35], [-0.915234386920929, -4.145027548500514e-35], [-0.9864257574081421, -4.467447913200872e-35], [-1.0, -4.52892460323051e-35], [-0.75, 0.30000001192092896], [-0.862500011920929, 0.22499999403953552], [-0.6468750238418579, 0.46875], [-0.78515625, 0.3515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8]]","[-0.002702619260550765, 4.261542779567389, 1.5489432369897869, 0.8412573731320163, 0.5458200340921959, 0.3908870091206896, 0.2964012923526085, 0.2485339826794274, 0.21283611490793172, 0.17718736195898763, 28.43481836950145]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 0.8246211251235323, 0.5024937691942769, 0.5783867722766924, 0.3649298848045082, 0.4486831045630229]"
4,agent_1,32.72311835201969,1,11,2.1369958,1.1313708498984762,0.5294211874108248,0,1,9.0,11,9,"[[0.0, 0.0], [-0.30000001192092896, 1.3586773235719679e-35], [-0.5249999761581421, 2.3776854238706658e-35], [-0.6937500238418579, 3.141941427348208e-35], [-0.8203125, 3.7151335375760865e-35], [-0.915234386920929, 4.145027548500514e-35], [-0.9864257574081421, 4.467447913200872e-35], [-1.0, 4.52892460323051e-35], [-1.0, 4.52892460323051e-35], [-0.75, 0.30000001192092896], [-0.5625, 0.5249999761581421], [-0.421875, 0.09375]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-0.8, 0.8], [0.0, 0.0], [0.0, 0.0]]","[-0.00016560331585624422, 3.690904418320497, 1.3435852827351058, 0.7318131074870385, 0.4771807092894794, 0.34473864228911183, 0.2657920106741673, 0.21461142618005416, 18.515317127782033, -1.723615207295222, 8.862956437873278]","[1.1313708498984762, 0.9433981068875807, 0.8459462235349376, 0.807024818350468, 0.800257831986823, 0.8082567438190927, 0.821434454491166, 0.8246211251235323, 0.8246211251235323, 0.5024937691942769, 0.3633610643877828, 0.8011039746031723]"
