episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions_obstacle,collisions_agent,total_collisions,stationary_steps,congestion_ratio,discovery_steps,info_sharing_steps,communication_efficiency,group_success_rate,coordination_index,bottleneck_time,near_miss_events,safety_violations,risk_exposure_time,time_to_first_movement,exploration_time,exploration_ratio,waiting_time,scenario_id,algorithm,num_obstacles,num_exits,num_agents,initial_position,trajectory
1,agent_0,-23.214034725305808,1,13,0.888926156021937,0.8883568524997555,0.9993595603883125,8,1,9,1,0.07692307692307693,13,13,1.0,1.0,0.9996134917911623,2,6,15,2,1,0,0.0,0,3,a2c,3,0,6,"[-0.2537345887554881, 0.7005512100204642]","[[-0.2537345887554881, 0.7005512100204642], [-0.2537345887554881, 0.7005512100204642], [-0.2537345887554881, 0.6705512100204641], [-0.2537345887554881, 0.6165512100204641], [-0.2537345887554881, 0.543351210020464], [-0.2537345887554881, 0.454791210020464], [-0.2537345887554881, 0.354791210020464], [-0.28373304429915047, 0.274792428107053], [-0.3355054347660887, 0.21141493707336484], [-0.4028779230203964, 0.1600996214193172], [-0.48261425989826506, 0.11582747495258944], [-0.5742479092558126, 0.0757865670530671], [-0.668959545849739, 0.04369753631513388]]"
1,agent_1,-9.479733012781963,1,11,0.7082914918619717,0.8143942294112713,1.1498009488584628,2,8,10,1,0.09090909090909091,11,11,1.0,1.0,0.9996134917911623,2,1,11,2,1,0,0.0,0,3,a2c,3,0,6,"[0.0023513310763116466, 0.13953602552190306]","[[0.0023513310763116466, 0.13953602552190306], [0.0023513310763116466, 0.13953602552190306], [-0.02764866892368836, 0.13953602552190306], [-0.08164866892368837, 0.13953602552190306], [-0.15484866892368837, 0.13953602552190306], [-0.24321020833471352, 0.139111310994611], [-0.313400442598473, 0.10713374352879061], [-0.39933020264245866, 0.07899003957865572], [-0.49604056963964427, 0.05355178265586963], [-0.5742809780567234, -0.0006422935729186174], [-0.6642091863933316, -0.04437920413330901]]"
1,agent_2,-13.521800916571951,1,11,0.6245064018984918,0.7616149754423004,1.2195471065260504,4,8,12,1,0.09090909090909091,11,11,1.0,1.0,0.9996134917911623,3,1,13,3,1,0,0.0,0,3,a2c,3,0,6,"[-0.0900136247813267, 0.2756387451390407]","[[-0.0900136247813267, 0.2756387451390407], [-0.0900136247813267, 0.2756387451390407], [-0.0900136247813267, 0.2456387451390407], [-0.12001362478132671, 0.2216387451390407], [-0.1740136247813267, 0.2024387451390407], [-0.24741208537030163, 0.18750345966633275], [-0.30662985110654223, 0.14719302713215313], [-0.383427723346107, 0.11706277745375566], [-0.4729869335350583, 0.09441020949717094], [-0.5425563491236169, 0.04639869772903199], [-0.6271471491169203, 0.008158116194840408]]"
1,agent_3,-31.80025091698142,1,17,1.3087348470781703,1.4246604467118222,1.0885783700896043,9,6,15,1,0.058823529411764705,17,17,1.0,1.0,0.9996134917911623,2,7,22,2,1,0,0.0,0,3,a2c,3,0,6,"[0.6039560162395186, -0.24200184480699602]","[[0.6039560162395186, -0.24200184480699602], [0.6039560162395186, -0.24200184480699602], [0.5739560162395185, -0.24200184480699602], [0.5199560162395185, -0.24200184480699602], [0.44675601623951844, -0.24200184480699602], [0.3581960162395184, -0.24200184480699602], [0.2581960162395184, -0.24200184480699602], [0.15819601623951837, -0.24200184480699602], [0.05819601623951837, -0.24200184480699602], [-0.04180398376048164, -0.24200184480699602], [-0.14180398376048164, -0.24200184480699602], [-0.241803950100283, -0.2420838938082116], [-0.3418004191384263, -0.2429242389180648], [-0.4199304866218102, -0.2134807580475713], [-0.5067884630886307, -0.18694764229842115], [-0.5734781822484675, -0.1281659592827328], [-0.6569506560923872, -0.07353073616320933]]"
1,agent_4,-25.50031854150823,1,16,1.2018403151350712,1.1507913028100047,0.9575242969617563,7,6,13,1,0.0625,16,16,1.0,1.0,0.9996134917911623,2,6,19,2,1,0,0.0,0,3,a2c,3,0,6,"[0.04696353302371814, -0.7790849737680281]","[[0.04696353302371814, -0.7790849737680281], [0.04696353302371814, -0.7790849737680281], [0.04696353302371814, -0.7490849737680281], [0.04696353302371814, -0.695084973768028], [0.04696353302371814, -0.621884973768028], [0.04696353302371814, -0.5333249737680279], [0.04696353302371814, -0.4333249737680279], [0.016963533023718134, -0.3533249737680279], [-0.03703646697628187, -0.2893249737680279], [-0.1102364669762819, -0.23812497376802788], [-0.19879646697628192, -0.19716497376802786], [-0.2940164330047743, -0.16661733769692152], [-0.39134780282386955, -0.14366947398069482], [-0.4896011155565822, -0.12506069817335694], [-0.588100468245128, -0.1078015695760764], [-0.6868084297973629, -0.09177851349421384]]"
1,agent_5,-25.662476573529162,1,14,1.0113539122893447,1.1568218354694526,1.1438348350784746,8,0,8,1,0.07142857142857142,14,14,1.0,1.0,0.9996134917911623,3,7,15,3,1,0,0.0,0,3,a2c,3,0,6,"[0.314951738820332, 0.3084142978534412]","[[0.314951738820332, 0.3084142978534412], [0.314951738820332, 0.3084142978534412], [0.284951738820332, 0.3084142978534412], [0.230951738820332, 0.3084142978534412], [0.15775173882033197, 0.3084142978534412], [0.06919173882033194, 0.3084142978534412], [-0.03080826117966806, 0.3084142978534412], [-0.13080826117966807, 0.3084142978534412], [-0.21080826117966808, 0.2784142978534412], [-0.3048082611796681, 0.25441429785344116], [-0.37951843957825077, 0.20517009422314317], [-0.46462016782020293, 0.1643096219251794], [-0.5573588283521409, 0.1268991843075576], [-0.6313401505433207, 0.060728778358920196]]"
2,agent_0,-37.3412580216678,1,21,1.670221086717516,1.6592754383421506,0.9934465871240574,8,1,9,1,0.047619047619047616,21,21,1.0,1.0,0.9996774312275536,6,24,33,6,1,0,0.0,0,3,a2c,3,0,6,"[0.7916390168347098, -0.4689138730886246]","[[0.7916390168347098, -0.4689138730886246], [0.7916390168347098, -0.4689138730886246], [0.7916390168347098, -0.43891387308862456], [0.7916390168347098, -0.38491387308862457], [0.7916390168347098, -0.3117138730886245], [0.7616390168347098, -0.2531538730886245], [0.7076390168347098, -0.20630587308862453], [0.6344390168347097, -0.1688274730886245], [0.5458790168347096, -0.13884475308862448], [0.4485929091067059, -0.11570575477116794], [0.35003468156933576, -0.09878606846521126], [0.2505742910467015, -0.08841154596607523], [0.15069372605945808, -0.0835255723856049], [0.05075571558273792, -0.08000505225997373], [-0.049211493294158914, -0.07744435911887283], [-0.1491941483124134, -0.07558191569672135], [-0.249184973850737, -0.07422736478792037], [-0.34918012117115915, -0.07324221892710939], [-0.44917755444453256, -0.07252574231392818], [-0.5491757683764462, -0.07192807147873805], [-0.6491651330032557, -0.07046966086202844]]"
2,agent_1,-24.66328079757565,1,19,1.3405174913318467,1.4157035913058507,1.056087369586878,5,7,12,1,0.05263157894736842,19,19,1.0,1.0,0.9996774312275536,8,2,14,8,1,0,0.0,0,3,a2c,3,0,6,"[0.6131468559642452, -0.08504482297383967]","[[0.6131468559642452, -0.08504482297383967], [0.6131468559642452, -0.08504482297383967], [0.5831468559642452, -0.08504482297383967], [0.5291468559642452, -0.08504482297383967], [0.48594685596424514, -0.05504482297383966], [0.422237338977092, -0.03160487669508428], [0.3443407453202893, -0.014819760072001403], [0.2559466967770197, -0.006967562620749492], [0.1560471185079016, -0.002487131653493629], [0.056096668975686326, 0.0006605084638147689], [-0.04387712041928661, 0.002949926295840145], [-0.14386325637313851, 0.004615044014755899], [-0.2438559231600885, 0.0058260720218596546], [-0.343852044389991, 0.006706832474333825], [-0.4240458909412925, -0.022878156993940125], [-0.488857748862358, -0.0172787870173964], [-0.5717667968387081, -0.013698196016198452], [-0.6415322367655371, -0.04179586539467817], [-0.6994402566024371, -0.031122509528698585]]"
2,agent_2,-37.7868255581961,1,23,1.882789055315989,1.7247794798174687,0.9160768568032698,7,5,12,1,0.043478260869565216,23,23,1.0,1.0,0.9996774312275536,5,25,37,5,1,0,0.0,0,3,a2c,3,0,6,"[0.8171281707639437, -0.5998005779599407]","[[0.8171281707639437, -0.5998005779599407], [0.8171281707639437, -0.5998005779599407], [0.8171281707639437, -0.5698005779599407], [0.8171281707639437, -0.5158005779599406], [0.8171281707639437, -0.44260057795994057], [0.8171281707639437, -0.35404057795994054], [0.7871281707639437, -0.2831925779599405], [0.7331281707639437, -0.2265141779599405], [0.6599281707639436, -0.1811714579599405], [0.5713681707639435, -0.14489728195994048], [0.47526770608644275, -0.11724405992762693], [0.37734337270385016, -0.09697524319909381], [0.27826925029766747, -0.08339885673417859], [0.17848169739390446, -0.07688392883905178], [0.07856152984926779, -0.07288891721807529], [-0.021396239286066307, -0.06998299404509682], [-0.12137390077940967, -0.06786941832550497], [-0.2213620849455485, -0.06633220423556453], [-0.3213558351292887, -0.06521420414980672], [-0.4213525294080541, -0.06440110309881525], [-0.5213507809180862, -0.06380975300253389], [-0.6213457583576211, -0.06280751207994924], [-0.7213419675342452, -0.06193679381045259]]"
2,agent_3,-36.91568407320216,1,20,1.5494298784818736,1.5165322813334905,0.978767934189693,9,6,15,1,0.05,20,20,1.0,1.0,0.9996774312275536,3,5,20,3,1,0,0.0,0,3,a2c,3,0,6,"[0.5343940026540919, 0.720598921736185]","[[0.5343940026540919, 0.720598921736185], [0.5343940026540919, 0.720598921736185], [0.5354205359552825, 0.691138173062577], [0.5372682958974256, 0.6381088254500825], [0.540347694468743, 0.5661717584960971], [0.544665150939416, 0.47846150342165616], [0.518613761630751, 0.40799785265861355], [0.46777265018381897, 0.35162693204817946], [0.3970997610262733, 0.3065301955598322], [0.3105614497002368, 0.27045280636915436], [0.21454057405749596, 0.24252447951627434], [0.11665888067761637, 0.222050737770144], [0.017783154634266704, 0.20709778490455713], [-0.08162110730001874, 0.19619857808479402], [-0.18130570315814454, 0.18826249916620105], [-0.26105337984464516, 0.15191363603132665], [-0.3552232684087151, 0.12299803797806363], [-0.4528561675128738, 0.10136896003846643], [-0.5512425904143335, 0.08347729190340683], [-0.6306682839200912, 0.036475457164824476]]"
