episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions,stationary_steps,congestion_ratio,scenario_id,algorithm,num_obstacles,num_exits,num_agents,trajectory
1,agent_0,100.45637161977153,1,11,2.5600562,0.8,0.3124931386315857,7,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [0.30000001192092896, -0.0], [0.22499999403953552, 0.30000001192092896], [0.16875000298023224, 0.5249999761581421], [0.12656250596046448, 0.6937500238418579], [0.09492187201976776, 0.8203125], [0.07119140774011612, 0.915234386920929], [0.3533935546875, 0.6864258050918579], [0.565045177936554, 0.514819324016571], [0.7237838506698608, 0.3861145079135895], [0.542837917804718, 0.5895859003067017], [0.40712785720825195, 0.7421889305114746]]"
1,agent_1,99.9893830257905,1,11,2.4293997,0.8,0.3292994522574446,4,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [2.8309846006473265e-34, 0.6937500238418579], [2.560757861551073e-27, 0.8203125], [1.3847960941950004e-23, 0.915234386920929], [8.846324056471877e-22, 0.9864257574081421], [5.1773194150015655e-21, 1.0], [0.30000001192092896, 0.75], [0.5249999761581421, 0.5625], [0.38683128356933594, 0.7218372225761414], [-0.07185320556163788, 0.9974152445793152]]"
1,agent_2,98.43893917496057,1,11,2.8128073,0.8,0.284413366628894,6,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [-0.0, 0.30000001192092896], [-0.0, 0.5249999761581421], [-0.0, 0.6937500238418579], [-0.0, 0.8203125], [-0.30000001192092896, 0.615234375], [-0.5249999761581421, 0.46142578125], [-0.6937500238418579, 0.3460693359375], [-0.520312488079071, 0.559552013874054], [-0.3902343809604645, 0.7196639776229858], [-0.2931888997554779, 0.8176971077919006], [-0.4851866662502289, 0.3206391930580139]]"
1,agent_3,100.36819883940422,1,11,2.5354402,0.8,0.3155270622988193,6,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [1.401298464324817e-45, 0.6937500238418579], [1.401298464324817e-45, 0.8203125], [-0.30000001192092896, 0.615234375], [-0.5249999761581421, 0.46142578125], [-0.6937500238418579, 0.3460693359375], [-0.8203125, 0.259552001953125], [-0.615234375, 0.4946640133857727], [-0.46142578125, 0.6709979772567749], [-0.3460692763328552, 0.803248405456543]]"
1,agent_4,98.0139552957691,1,11,2.7814453,0.8,0.28762025631765953,16,2,0.18181818181818182,3,ppo,40,2,6,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [1.401298464324817e-45, 0.6937500238418579], [1.401298464324817e-45, 0.8203125], [1.401298464324817e-45, 0.915234386920929], [1.401298464324817e-45, 0.9864257574081421], [1.401298464324817e-45, 1.0], [1.401298464324817e-45, 1.0], [1.401298464324817e-45, 0.10927734524011612], [3.432145498216047e-34, 1.0], [1.8014395530840943e-11, 1.0]]"
1,agent_5,98.0139552957691,1,11,2.7814453,0.8,0.28762025631765953,16,2,0.18181818181818182,3,ppo,40,2,6,"[[0.0, 0.0], [-0.0, 0.30000001192092896], [-0.0, 0.5249999761581421], [-1.401298464324817e-45, 0.6937500238418579], [-1.401298464324817e-45, 0.8203125], [-1.401298464324817e-45, 0.915234386920929], [-1.401298464324817e-45, 0.9864257574081421], [-2.722573486199039e-34, 1.0], [-9.318566234160445e-22, 1.0], [-6.9889481521208735e-22, 0.10927734524011612], [-2.846844768858443e-22, 1.0], [5.1776074741875385e-20, 1.0]]"
2,agent_0,100.45637161977153,1,11,2.5600562,0.8,0.3124931386315857,7,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [0.30000001192092896, -0.0], [0.22499999403953552, 0.30000001192092896], [0.16875000298023224, 0.5249999761581421], [0.12656250596046448, 0.6937500238418579], [0.09492187201976776, 0.8203125], [0.07119140774011612, 0.915234386920929], [0.3533935546875, 0.6864258050918579], [0.565045177936554, 0.514819324016571], [0.7237838506698608, 0.3861145079135895], [0.542837917804718, 0.5895859003067017], [0.40712785720825195, 0.7421889305114746]]"
2,agent_1,99.9893830257905,1,11,2.4293997,0.8,0.3292994522574446,4,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [2.8309846006473265e-34, 0.6937500238418579], [2.560757861551073e-27, 0.8203125], [1.3847960941950004e-23, 0.915234386920929], [8.846324056471877e-22, 0.9864257574081421], [5.1773194150015655e-21, 1.0], [0.30000001192092896, 0.75], [0.5249999761581421, 0.5625], [0.38683128356933594, 0.7218372225761414], [-0.07185320556163788, 0.9974152445793152]]"
2,agent_2,98.43893917496057,1,11,2.8128073,0.8,0.284413366628894,6,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [-0.0, 0.30000001192092896], [-0.0, 0.5249999761581421], [-0.0, 0.6937500238418579], [-0.0, 0.8203125], [-0.30000001192092896, 0.615234375], [-0.5249999761581421, 0.46142578125], [-0.6937500238418579, 0.3460693359375], [-0.520312488079071, 0.559552013874054], [-0.3902343809604645, 0.7196639776229858], [-0.2931888997554779, 0.8176971077919006], [-0.4851866662502289, 0.3206391930580139]]"
2,agent_3,100.36819883940422,1,11,2.5354402,0.8,0.3155270622988193,6,0,0.0,3,ppo,40,2,6,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [1.401298464324817e-45, 0.6937500238418579], [1.401298464324817e-45, 0.8203125], [-0.30000001192092896, 0.615234375], [-0.5249999761581421, 0.46142578125], [-0.6937500238418579, 0.3460693359375], [-0.8203125, 0.259552001953125], [-0.615234375, 0.4946640133857727], [-0.46142578125, 0.6709979772567749], [-0.3460692763328552, 0.803248405456543]]"
2,agent_4,98.0139552957691,1,11,2.7814453,0.8,0.28762025631765953,16,2,0.18181818181818182,3,ppo,40,2,6,"[[0.0, 0.0], [0.0, 0.30000001192092896], [0.0, 0.5249999761581421], [1.401298464324817e-45, 0.6937500238418579], [1.401298464324817e-45, 0.8203125], [1.401298464324817e-45, 0.915234386920929], [1.401298464324817e-45, 0.9864257574081421], [1.401298464324817e-45, 1.0], [1.401298464324817e-45, 1.0], [1.401298464324817e-45, 0.10927734524011612], [3.432145498216047e-34, 1.0], [1.8014395530840943e-11, 1.0]]"
2,agent_5,98.0139552957691,1,11,2.7814453,0.8,0.28762025631765953,16,2,0.18181818181818182,3,ppo,40,2,6,"[[0.0, 0.0], [-0.0, 0.30000001192092896], [-0.0, 0.5249999761581421], [-1.401298464324817e-45, 0.6937500238418579], [-1.401298464324817e-45, 0.8203125], [-1.401298464324817e-45, 0.915234386920929], [-1.401298464324817e-45, 0.9864257574081421], [-2.722573486199039e-34, 1.0], [-9.318566234160445e-22, 1.0], [-6.9889481521208735e-22, 0.10927734524011612], [-2.846844768858443e-22, 1.0], [5.1776074741875385e-20, 1.0]]"
