episode,agent_id,total_reward,success,evacuation_time,distance_travelled,direct_distance,path_efficiency,collisions_obstacle,collisions_agent,total_collisions,stationary_steps,congestion_ratio,discovery_steps,info_sharing_steps,communication_efficiency,group_success_rate,coordination_index,bottleneck_time,near_miss_events,safety_violations,risk_exposure_time,time_to_first_movement,exploration_time,exploration_ratio,waiting_time,scenario_id,algorithm,num_obstacles,num_exits,num_agents,initial_position,trajectory
1,agent_0,-4.246205112070898,1,14,1.009461877237842,1.1379407374834003,1.1272746035710737,0,0,0,1,0.07142857142857142,14,14,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,a2c,0,0,2,"[0.372961306207539, -0.2547734714280092]","[[0.372961306207539, -0.2547734714280092], [0.372961306207539, -0.2547734714280092], [0.372961306207539, -0.2247734714280092], [0.372961306207539, -0.1707734714280092], [0.372961306207539, -0.09757347142800918], [0.372961306207539, -0.009013471428009151], [0.372961306207539, 0.09098652857199085], [0.402961306207539, 0.17098652857199087], [0.426961306207539, 0.2649865285719909], [0.47616130620753905, 0.34018652857199094], [0.5155213062075391, 0.43034652857199096], [0.5770093062075391, 0.5024745285719909], [0.6259279682993165, 0.5896924424380684], [0.6950628979727385, 0.6594667735309303]]"
1,agent_1,-16.48438451852871,1,23,1.9091020070846774,1.9201870323890182,1.0058064080720697,0,1,1,1,0.043478260869565216,23,23,1.0,1.0,1.0,0,0,1,0,1,0,0.0,0,1,a2c,0,0,2,"[0.05726362383037498, -0.970723274503771]","[[0.05726362383037498, -0.970723274503771], [0.05726362383037498, -0.970723274503771], [0.05726362383037498, -0.940723274503771], [0.05726362383037498, -0.886723274503771], [0.05726362383037498, -0.8135232745037709], [0.05726362383037498, -0.7249632745037708], [0.05726362383037498, -0.6249632745037709], [0.05726362383037498, -0.5249632745037709], [0.05726362383037498, -0.4249632745037709], [0.05726362383037498, -0.32496327450377094], [0.05726362383037498, -0.22496327450377093], [0.08726362383037498, -0.14496327450377092], [0.11126362383037498, -0.05096327450377089], [0.160463623830375, 0.024236725496229142], [0.199823623830375, 0.11439672549622917], [0.261311623830375, 0.1865247254962292], [0.31023028592215235, 0.27374263936230664], [0.37936521559557423, 0.3435169704551686], [0.46304366449446654, 0.39827020953629944], [0.5299864236135804, 0.4720728008012041], [0.6116543576981619, 0.5297819728829143], [0.6767610981601762, 0.6056839645986256], [0.7571554009765106, 0.6651545966339043]]"
2,agent_0,-3.072216660256061,1,10,0.465388919600637,0.34328735336902855,0.7376354247187769,0,0,0,1,0.1,10,10,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,a2c,0,0,2,"[0.9220555827607995, 0.47914389253119416]","[[0.9220555827607995, 0.47914389253119416], [0.9220555827607995, 0.47914389253119416], [0.9220555827607995, 0.5091438925311942], [0.9220555827607995, 0.5631438925311942], [0.9220555827607995, 0.6363438925311943], [0.9220555827607995, 0.7249038925311944], [0.9520555827607995, 0.7957518925311944], [0.9460555827607995, 0.8524302925311944], [0.9112555827607994, 0.8977730125311945], [0.8834155827607995, 0.9040471885311945]]"
2,agent_1,-6.7894670614081125,1,17,1.2783380353276155,1.3495952157600193,1.0557420482401134,0,0,0,1,0.058823529411764705,17,17,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,a2c,0,0,2,"[-0.37418717136657476, 0.13464916547696815]","[[-0.37418717136657476, 0.13464916547696815], [-0.37418717136657476, 0.13464916547696815], [-0.34418717136657473, 0.13464916547696815], [-0.29018717136657474, 0.13464916547696815], [-0.21698717136657472, 0.13464916547696815], [-0.1284271713665747, 0.13464916547696815], [-0.05757917136657467, 0.16464916547696815], [0.02909922863342536, 0.18864916547696814], [0.09844194863342538, 0.23784916547696816], [0.1839161246334254, 0.27720916547696817], [0.2522954654334254, 0.33869716547696815], [0.3369989380734254, 0.3878875654769682], [0.40476171618542545, 0.4572398854769682], [0.48826680142467366, 0.5122571622106079], [0.5550708696160722, 0.5862709835975197], [0.6366246913947425, 0.644141305467135], [0.7265623868225497, 0.6878587040760985]]"
3,agent_0,-16.642465038859466,1,23,1.8438338793093416,1.9546921702176638,1.0601237953984484,0,0,0,1,0.043478260869565216,23,23,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,a2c,0,0,2,"[-0.3957745298088893, -0.746268008519406]","[[-0.3957745298088893, -0.746268008519406], [-0.3957745298088893, -0.746268008519406], [-0.3957745298088893, -0.716268008519406], [-0.3957745298088893, -0.6622680085194059], [-0.3957745298088893, -0.5890680085194059], [-0.36577452980888925, -0.5305080085194058], [-0.3417745298088892, -0.4536600085194058], [-0.2925745298088892, -0.39218160851940576], [-0.2532145298088892, -0.3129988885194057], [-0.19172652980888918, -0.24965271251940568], [-0.14253612980888916, -0.16897577171940564], [-0.07318380980888914, -0.10443421907940562], [-0.017701953808889115, -0.022800976967405587], [0.05668353099111091, 0.04250561672219444], [0.1153031438155535, 0.12352253466105734], [0.19176521836063082, 0.18797058471893763], [0.2517657391562368, 0.26797019411958445], [0.3290733942221578, 0.33140146770137985], [0.38988038523582264, 0.41078981598917386], [0.4676797068117094, 0.4736170836548281], [0.5554895129076108, 0.5214651552293461], [0.6257373577843319, 0.5897436124889605], [0.7102057418369758, 0.6432701675390947]]"
3,agent_1,-7.000383247916285,1,17,1.3312000374531756,1.4652650858726881,1.1007099193566754,0,0,0,1,0.058823529411764705,17,17,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,a2c,0,0,2,"[0.807216232804921, -0.6652473162785868]","[[0.807216232804921, -0.6652473162785868], [0.807216232804921, -0.6652473162785868], [0.807216232804921, -0.6352473162785868], [0.807216232804921, -0.5812473162785867], [0.807216232804921, -0.5080473162785867], [0.807216232804921, -0.41948731627858665], [0.807216232804921, -0.3194873162785866], [0.807216232804921, -0.2194873162785866], [0.807216232804921, -0.11948731627858661], [0.807216232804921, -0.019487316278586603], [0.807216232804921, 0.0805126837214134], [0.807216232804921, 0.1805126837214134], [0.807216232804921, 0.2805126837214134], [0.807216232804921, 0.38051268372141345], [0.807216232804921, 0.4805126837214134], [0.807216232804921, 0.5805126837214134], [0.8372162328049211, 0.6605126837214135]]"
4,agent_0,-11.64687742331422,1,20,1.5458710933364173,1.6673929797128855,1.078610620833973,0,0,0,1,0.05,20,20,1.0,1.0,1.0,0,1,1,0,1,0,0.0,0,1,a2c,0,0,2,"[-0.5450201937143215, -0.18545422384629484]","[[-0.5450201937143215, -0.18545422384629484], [-0.5450201937143215, -0.18545422384629484], [-0.5150201937143215, -0.18545422384629484], [-0.4610201937143215, -0.18545422384629484], [-0.3878201937143215, -0.18545422384629484], [-0.3292601937143215, -0.15545422384629484], [-0.2524121937143215, -0.13145422384629485], [-0.19093379371432148, -0.08225422384629483], [-0.11175107371432146, -0.042894223846294814], [-0.04840489771432144, 0.0185937761537052], [0.03227204308567859, 0.06778417615370522], [0.09681359572567862, 0.13713649615370524], [0.17844683783767865, 0.19261835215370526], [0.24375343152727869, 0.2670038369537053], [0.3247703494661416, 0.32562344977814783], [0.3892183995240219, 0.40208552432322514], [0.4692180089246687, 0.4620860451188311], [0.5326492825064642, 0.5393937001847522], [0.6120376307942581, 0.600200691198417], [0.6748648984599124, 0.6780000127743038]]"
4,agent_1,-8.647775284442996,1,18,1.317629958125484,1.451536104837123,1.1016265195595123,0,0,0,1,0.05555555555555555,18,18,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,a2c,0,0,2,"[-0.3505416183772374, -0.08499211749462177]","[[-0.3505416183772374, -0.08499211749462177], [-0.3505416183772374, -0.08499211749462177], [-0.3205416183772374, -0.08499211749462177], [-0.2665416183772374, -0.08499211749462177], [-0.22334161837723737, -0.05499211749462176], [-0.15878161837723737, -0.030992117494621753], [-0.10713361837723734, 0.01820788250537826], [-0.03581521837723731, 0.057567882505378275], [0.021239501622762724, 0.1190558825053783], [0.09688327762276276, 0.16824628250537832], [0.1573982984227628, 0.23759860250537834], [0.23581031506276284, 0.29308045850537834], [0.2985399283747629, 0.36746594330537835], [0.3787236190243629, 0.42697433114537836], [0.44243363975815675, 0.5040524295787179], [0.521989806528836, 0.5646396916785675], [0.5849824007553474, 0.6423052121661951], [0.664106271304542, 0.7034559530391745]]"
5,agent_0,-2.2219721893337887,1,12,0.8312000374531754,0.9686072939472682,1.1653118988241546,0,0,0,1,0.08333333333333333,12,12,1.0,1.0,1.0,0,1,1,0,1,0,0.0,0,1,a2c,0,0,2,"[-0.16761600136599797, 0.7561894557403532]","[[-0.16761600136599797, 0.7561894557403532], [-0.16761600136599797, 0.7561894557403532], [-0.13761600136599797, 0.7561894557403532], [-0.08361600136599796, 0.7561894557403532], [-0.010416001365997948, 0.7561894557403532], [0.07814399863400208, 0.7561894557403532], [0.1781439986340021, 0.7561894557403532], [0.2781439986340021, 0.7561894557403532], [0.37814399863400205, 0.7561894557403532], [0.47814399863400203, 0.7561894557403532], [0.578143998634002, 0.7561894557403532], [0.6581439986340021, 0.7861894557403533]]"
5,agent_1,-1.1308277713402344,1,10,0.515815659748415,0.6235805740498164,1.2089213699986596,0,0,0,1,0.1,10,10,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0,1,a2c,0,0,2,"[0.3570783543548084, 0.36105450435019404]","[[0.3570783543548084, 0.36105450435019404], [0.3570783543548084, 0.36105450435019404], [0.3870783543548084, 0.36105450435019404], [0.41107835435480844, 0.39105450435019407], [0.43027835435480843, 0.44505450435019406], [0.47563835435480845, 0.4882545043501941], [0.5419263543548085, 0.522814504350194], [0.5949567543548085, 0.5804625043501941], [0.6673810743548085, 0.6265809043501941], [0.7253205303548086, 0.693475624350194]]"
